企業名,法人番号,業種,都道府県,従業員数,設立年,補助金,代表者名,公式URL
福山通運株式会社,1240001032736,貨物自動車運送事業、貨物利用運送事業、国際複合一貫輸送事業および代理店業、前号以外の貨物運送事業および利用運送事業、自動,広島県福山市東深津町４丁目２０番１号,10347,1948,,小丸成洋,http://www.fukutsu.co.jp
シモハナ物流株式会社,1240001036407,,広島県安芸郡坂町横浜中央１丁目６番３０号,6050,1955,,下花実,
五洋医療器株式会社,1240001039582,,広島県福山市明神町２丁目２番３０号,109,1979,,小坂正記,
株式会社パナソニックシステムネットワークス開発研究所,1370001001190,無線、パワーエレクトロニクス・エネルギーマネージメント、画像、スマート端末等の技術開発,宮城県仙台市泉区明通２丁目５番地,516,1988,,大橋政宏,
株式会社植松商会,1370001002651,,宮城県仙台市若林区卸町３丁目７番地の５,76,,,植松誠一郎,
株式会社ビルワーク・ジャパン,1370001002131,総合ビルメンテナンス業,宮城県仙台市太白区富沢西４丁目９番地の９,450,1982,,納庄国英,http://www.builwork.co.jp/
シブヤ食品株式会社,1370001003187,配達飲食サービス業,宮城県仙台市宮城野区岡田西町３番４０号,220,1986,,澁谷武幸,
株式会社七十七銀行,1370001003352,普通銀行業,宮城県仙台市青葉区中央３丁目３番２０号,3762,,,頭取小林英文,https://www.77bank.co.jp/job/new/diversity/index.html
葵工業株式会社,1370001004540,,宮城県仙台市宮城野区大梶１０番１５号,51,1960,,鎌田雅之,
株式会社ユーメディア,1370001004227,広告・印刷・プロモーション支援事業,宮城県仙台市若林区六丁の目西町４番１２号,134,1960,,今野均,http://www.u-media.jp/
宮城日野自動車株式会社,1370001005258,自動車販売・整備業,宮城県仙台市宮城野区扇町１丁目７番３６号,231,1973,,鈴木徹也,https://www.miyagi-hino.co.jp/index.html
株式会社三協技術,1370001005118,建設コンサルタント業／測量業／地質調査業／補償コンサルタント業／IT関連事業／埋蔵文化財調査／建築設計・監理／建設工事・,宮城県仙台市青葉区国分町３丁目８番１４号,263,1987,,高橋郁,https://sankyocc.jp/
オリックスレンタカー・カメイ株式会社,1370001007493,,宮城県仙台市青葉区本町２丁目１０番２８号,244,1989,,寺田孝夫,
株式会社セント,1370001008806,,宮城県仙台市青葉区北根４丁目２番２０号,114,1953,,坂下利幸,
仙台トヨペツト株式会社,1370001006652,自動車販売及び修理,宮城県仙台市宮城野区苦竹２丁目８番１号,489,1956,,佐藤秀之,https://www.p-sendai.co.jp/
テスコ株式会社,1370001009259,医療機器の販売、賃貸、修理及び保守,宮城県仙台市泉区大沢３丁目４番地の３,188,1973,,秋田裕二,
同和興業株式会社,1370001009416,ビルメンテナンス業,宮城県仙台市青葉区一番町４丁目６番１号仙台第一生命タワービルディング,1515,1961,,菅井和宏,
株式会社日立ソリューションズ東日本,1370001009911,"総合IT企業として様々な分野のソリューションを提供
（システムエンジニアリング、ソフトウェア開発等）",宮城県仙台市青葉区中央３丁目２番１号,1259,1984,,円井高,http://www.hitachi-solutions-east.co.jp/index.html
株式会社復建技術コンサルタント,1370001010010,弊社は、昭和21年の創業以来、東北を拠点とする総合建設コンサルタントとして道路や橋梁設計・地質調査・測量に携わってきまし,宮城県仙台市青葉区錦町１丁目７番２５号,442,1949,,田澤光治,https://www.fgc.jp/
積水ハウスシャーメゾンＰＭ東北株式会社,1370001011272,"1.不動産の賃貸借の仲介、斡旋並びに代理
 2.不動産の賃貸借
 3.不動産の管理
 4.建築工事、造園工事、土木工事、",宮城県仙台市青葉区本町２丁目１６番１０号,176,1983,,根本遵,https://www.sekisuihouse-f-tohoku.co.jp/
株式会社東北朝日プロダクション,1370001011371,番組制作,宮城県仙台市太白区あすと長町１丁目３番１５号,56,1991,,加藤東興,
古川電気工業株式会社,1370001006009,配電盤・分電盤・制御盤等の電気機械器具製造及び販売,宮城県仙台市宮城野区扇町２丁目１番１０号,248,1947,,茂泉勝弘,http://www.furukawa-denki.com/
仙台ガスサービス株式会社,1370001006710,"●ガス器具の販売・施工・修理
●ガス設備の設計・施工
●ガスコージェネレーションシステム
●キッチン・浴室・トイレ・水廻",宮城県仙台市宮城野区幸町３丁目１２番１５号,100,1966,,立野昭宏,https://www.sgs-jp.net
日本製紙石巻テクノ株式会社,1370301000974,電装事業部・機械事業部・建設事業部と3事業部制を採用し、紙パルプ・紙加工プラントにとどまらず、あらゆる製造施設を対象とし,宮城県石巻市南光町２丁目２番１１号,162,1960,,藤本康之,
株式会社倉元製作所,1370201003004,液晶ガラス加工,宮城県栗原市若柳武鎗字花水前１番地１,97,,,兼小峰衛,http://www.kuramoto.co.jp/Company_info/keiei_rinen.html
若生工業株式会社,1370301001436,総合建設業,宮城県石巻市清水町２丁目３番３号,65,1972,,若生翔太郎,http://www.wakoinc.co.jp/
株式会社鈴勇商店,1370301000702,"ステンレス・特殊金属全般・製鋼原料
金属製品製造業(再生資源処理加工業)",宮城県石巻市鹿又字山下西１２２番地１,178,1989,,鈴木秀幸,http://www.suzuyu.co.jp/
カガク興商株式会社,1370301000322,"石油・ガソリン販売
LPG販売
高圧ガス販売",宮城県石巻市三ツ股１丁目２番７７号,101,1956,,伊藤武彦,http://www.kagaku-k.co.jp/
宮城中央ヤクルト販売株式会社,1370801000276,乳酸菌飲料販売,宮城県名取市植松字宮島７７番地,228,1989,,川島誠一,
株式会社ひまわり,1370601003025,警備業,宮城県多賀城市町前３丁目２番１０号,197,2012,,井上茂雄,
宮城熊さん株式会社,2370001002378,麺類及び業務用食品の卸売業・飲食業,宮城県仙台市太白区西多賀５丁目１８番１１号,100,1988,,舘野明雄,
東北放送株式会社,2370001002452,,宮城県仙台市太白区八木山香澄町２６番１号,136,,,一力敦彦,
ユキグニファクトリー株式会社,1010001185037,茸事業、その他食品事業,新潟県南魚沼市余川８９番地,1926,,,湯澤尚史,
株式会社シバタインテック,2370001003186,医療機器、病院設備機器、ME機器、治療診断機器、手術機器、輸入機器、診療材料、科学機器、バイオテクノロジー関連機器、分析,宮城県仙台市若林区卸町２丁目１１番地３,287,1964,,柴田清孝,http://www.shibataintech.co.jp/
東北特殊鋼株式会社,2370001002444,特殊鋼製造販売,宮城県仙台市太白区長町７丁目２０番１号,409,,,成瀬真司,http://www.tohokusteel.com/
株式会社大谷商会,1110001000879,卸売業（主に産業用機械設備）,新潟県新潟市東区逢谷内４６３番地,163,1950,,大谷太郎,http://www.otani-shokai.com/index.html
ラミコジャパン株式会社,1110001003295,,新潟県新潟市中央区日の出３丁目４番１５号,3572,1994,,金子重行,
株式会社トップカルチャー,1110001003592,"書籍・文具・雑貨
ＣＤ・ＤＶＤ等の販売",新潟県新潟市西区小針４丁目９番１号,1300,,,清水大輔,
株式会社トーシス新潟,1110001003477,電気設備工事、電気通信設備工事の施工ならびに施工管理事業,新潟県新潟市西区的場流通２丁目４番地５,176,1972,,滝沢欽司,http://www.ts-niigata.co.jp
株式会社新潟電装,1110001003956,,新潟県新潟市西区流通センター３丁目１番地３,58,1961,,長谷川衛,
ＵＤトラックス新潟株式会社,1110001007255,トラック販売・整備,新潟県新潟市秋葉区川口５８０番地１１,167,1970,,上原洋明,
共栄エンジニアリング株式会社,1110001012362,,新潟県阿賀野市山倉１９１２番地２,162,1990,,佐藤大,
環境をサポートする株式会社きらめき,1110001001720,ビルメンテナンス・清掃・警備・指定管理者,新潟県新潟市中央区東堀前通６番町１０６１番地,832,1963,,山田茂孝,http://www.kirameki.co.jp/
森井紙器工業株式会社,1110001016140,,新潟県燕市吉田下中野１５５１番地２,105,1949,,森井康,
株式会社大原鉄工所,1110001022254,水処理・下水処理機械設備、バイオガス発電設備、リサイクル・廃棄物処理機械設備、石油・ガス掘削機、南極観測用・人員物資輸送,新潟県長岡市城岡２丁目８番１号,169,1940,,大原興人,
越後交通株式会社,1110001022221,,新潟県長岡市千秋２丁目２７８８番地１,513,1914,,伊比久,
株式会社有沢製作所,1110001018789,電子材料、産業用構造材料、電気絶縁材料、ディスプレイ材料などの製造・販売,新潟県上越市南本町１丁目５番５号,670,1949,,有沢悠太,https://www.arisawa.co.jp/
糸魚川二幸株式会社,1110001021875,ビルメンテナンス業,新潟県糸魚川市押上２丁目１４番１３号,177,2008,,齋藤隆一,https://itoigawa-nikoh.co.jp/
株式会社太陽工機,1110001022782,,新潟県長岡市西陵町２２１番３５,316,,,渡辺剛,
株式会社イートラスト,1110001022452,電気・通信事業を中心とした工事施工やシステムの構築,新潟県長岡市北陽１丁目５３番地５４,209,1953,,酒井龍市,http://www.etrust.ne.jp/
株式会社キタック,2110001001637,"地質調査・試験・解析・評価
環境調査・分析・解析・評価
土木設計・施工管理・構造物維持管理
地域計画・地域おこし・まちづ",新潟県新潟市中央区新光町１０番地２,190,1973,,中山正子,https://kitac.co.jp
グリーン産業株式会社,2110001001769,建設業,新潟県新潟市中央区神道寺２丁目２番１０号,405,1971,,荒川義克,http://www.green-s.co.jp/
中越運送株式会社,2110001003294,,新潟県新潟市中央区美咲町１丁目２３番２６号,1060,1951,,中山元四郎,
株式会社高助,2110001003113,石油製品卸・小売、建設資材卸売・施工、一般貨物運送　他,新潟県新潟市中央区礎町通４ノ町２１００番地,97,1952,,堀健一,https://www.takasuke-n.co.jp/
株式会社グリーン美装,1100001000855,総合ビル管理・警備業,長野県長野市七瀬２番地７,165,1980,,堀込哲也,
株式会社共和コーポレーション,1100001000797,"アミューズメント施設・バッティングセンター・
ボウリング場の運営／ゲーム関連機器の販売／
アミューズメント施設管理委託／",長野県長野市若里３丁目１０番２８号,961,1986,,宮本和彦,http://www.kyowa-corp.co.jp
東京法令出版株式会社,1100001002125,,長野県長野市南千歳町１００５番地,204,1948,,星沢卓也,
株式会社ナガレイ,1100001001333,業務用専門卸商社,長野県長野市市場３番地４３,124,1972,,根橋博志,
株式会社ＳＲＩ,2110001002817,"機密文書保管サービス、機密文書抹消サービス、オンデマンド電送サービス、
電子データ化サービス、ファイリングサービス、文書",新潟県新潟市北区笹山東１０７番地,60,1996,,北村真,https://www.sri-group.work/
株式会社スズキ自販長野,1100001001580,自動車の販売整備業,長野県長野市大字北尾張部１１６番地,304,1967,,鈴木彰人,http://www.sj-nagano.jp/
長野リネンサプライ株式会社,1100001002554,ホテル・病院等の寝具の販売・リース・クリーニング。ユニフォームの販売。クリーニング資材の販売。,長野県長野市アークス１３番７号,189,1963,,徳武好春,
株式会社電算,1100001002083,"情報処理・通信サービス
ソフトウェア開発・システム提供サービス
システム機器販売等
その他関連サービス",長野県長野市大字鶴賀七瀬中町２７６番地６,698,1966,,轟一太,https://www.ndensan.co.jp/
株式会社長野ナブコ,1100001002471,既設建築物設備工事業（自動ドア）,長野県長野市丹波島２丁目９番地１０,58,1982,,篠田光宏,
八十二リース株式会社,1100001002835,,長野県長野市大字中御所岡田２１８番地１４,149,1974,,中村孝,
不二越機械工業株式会社,1100001002967,,長野県長野市松代町清野１６５０番地,227,1952,,市川大造,
サクラ精機株式会社,1100001006191,医療機器の製造販売,長野県千曲市大字鋳物師屋７５番地の５,555,1957,,東竜一郎,https://www.sakurajp.com/recruit/data/
株式会社竹花組,1100001007330,"1.　土木構造物の請負施工
2.　建築物の設計及び請負施工
3.　建設関連資材（生コン、アスファルト合材、砕石、石油製品",長野県佐久市望月３０番地１,102,1949,,矢野健太郎,http://www.takehanagumi.co.jp
株式会社ユーシン,1010401030214,電気機械器具製造業,長野県北佐久郡御代田町大字御代田４１０６番地７３,850,,,岡部哉慧,http://www.u-shin-ltd.com/
双信電機株式会社,1100001008031,,長野県佐久市長土呂８００番地３８,763,,,杉山雅彦,
日精樹脂工業株式会社,1100001011530,射出成形機・金型・成形自動システム・計測機器等の開発、製造、販売,長野県埴科郡坂城町大字南条２１１０番地,535,,,依田穂積,https://www.nisseijushi.co.jp/sustainability/society/
株式会社アスピア,1100001014038,建設業,長野県松本市宮渕１丁目３番３０号,129,1961,,百瀬方洋,https://www.asupia.co.jp/
キッセイ薬品工業株式会社,1100001012982,"医療用医薬品の研究・開発・製造・販売
特別用途食品等の開発・販売",長野県松本市芳野１９番４８号,1500,,,神澤陸雄,https://www.kissei.co.jp/sustainability/contribution/
株式会社ウィルトス,1100001014129,,長野県松本市本庄１丁目１番１３号,900,1983,,佐倉正晃,
中日本メディカルリンク株式会社,1100001015044,医療機器・医薬品・介護用品の販売、メンテナンス,長野県松本市丸の内８番１号,227,1951,,上野直樹,
株式会社エラン,1100001014640,入院セット「CSセット」の提供,長野県松本市出川町１５番１２号,378,1995,,峯崎友宏,https://www.kkelan.com/
ＫＯＡ株式会社,1100001020696,各種電子部品の開発・製造・販売,長野県伊那市荒井３６７２番地,1788,,,向山浩正,https://www.koaglobal.com/
木下建設株式会社,1100001022395,,長野県飯田市松尾町１丁目２２番地,98,1949,,木下勝貴,
株式会社デリクックちくま,1100005001461,,長野県長野市篠ノ井小森４２８番地,651,1962,,萩原秀治,
高沢産業株式会社,2100001001852,"鉄鋼原料卸売
アスファルト合材製造・工事
セメント、生コン、建設資材卸売
OA機器販売・リース",長野県長野市南千歳１丁目１５番地３,120,1947,,高澤曜宏,
長野日産自動車株式会社,2100001002470,自動車販売及び整備,長野県長野市大字川合新田３６１６番地１,486,1950,,内野伸一,
長野日野自動車株式会社,2100001002512,,長野県長野市川中島町上氷鉋５５３番地１,313,1955,,水野右,
信越放送株式会社,2100001001266,テレビ・ラジオ放送業,長野県長野市大字鶴賀問御所町１２００番地３,131,1951,,渡辺雅義,https://sbc21.co.jp/
岐阜プラスチック工業株式会社,1200001001471,プラスチック製品の製造・販売,岐阜県岐阜市神田町９丁目２７番地,860,1953,,大松栄太,https://www.risu.co.jp/
株式会社市川工務店,1200001000374,総合建設業,岐阜県岐阜市鹿島町６丁目２７番地,349,1950,,小川健,https://www.ic-group.co.jp/
株式会社トコロ,1200001003699,,岐阜県岐阜市美園町２丁目１７番地,56,1963,,所章互,
株式会社水野鉄工所,1200001005217,"航空宇宙機器部品加工組み立て
油圧機器部品加工
航空機用治工具設計製作",岐阜県関市倉知４５３９番地１０,198,1958,,水野辰博,http://www.miztec.jp
富士変速機株式会社,1200001004458,"1.変速機、減速機の製造ならびに販売。
2.各種駐車場装置の製造ならびに販売。
3.各種工作機械、工業用機械およびその部",岐阜県岐阜市中洲町１８番地,242,1965,,市原英孝,https://www.fujihensokuki.co.jp/
株式会社ユニオン,1200001005687,建設コンサルタント・測量業・補償コンサルタント,岐阜県岐阜市西河渡２丁目５７番地,125,1971,,村橋塁,https://www.theunion.co.jp/
株式会社丸泰,1200001005051,建設施工、資材販売、宿泊業,岐阜県岐阜市領下６丁目４６番地,75,1951,,伊藤寛章,https://www.maruyasu-gr.co.jp
株式会社ワークリレーション,1200001006017,人材派遣業,岐阜県岐阜市六条北４丁目６番６号,247,2001,,青木聡,http://www.work-re.com
株式会社人材Ｂａｎｋ,1200001008475,労働者派遣業,岐阜県岐阜市茜部大川１丁目５１番地,244,2006,,渡邉賢司,
篠田株式会社,1200001011090,"１．土木建設資材の販売
２．建設機械の販売・修理
３．エコ商品の販売
４．建設業(土木工事業、とび・土工工事業、鋼構造物",岐阜県羽島郡岐南町野中１丁目８番地,206,1985,,篠田圭司,https://www.gifu-shinoda.co.jp/
大垣ガス株式会社,1200001013368,ガス事業,岐阜県大垣市寺内町３丁目６７番地,104,1912,,上田元久,
株式会社可児ゴルフ倶楽部,1200001017708,,岐阜県可児市久々利向平２２１番地の２,302,,,岩瀬弘,
セブン工業株式会社,1200001017170,集成材、住宅部材の製造販売及び付帯事業,岐阜県美濃加茂市牧野１００６番地,509,,,木下浩一,https://www.seven-gr.co.jp/
東濃建物管理株式会社,1200001017955,建物総合管理,岐阜県可児市広見２丁目５７番地,307,1979,,河方誠,http://green-clean.jp/
レシップ株式会社,1200001020323,電気機械器具製造販売業,岐阜県本巣市上保１２６０番地の２,590,2010,,北野元昭,
セキュリティ東海株式会社,1200001020728,建物総合管理・警備・清掃,岐阜県多治見市音羽町４丁目２５番地,105,1970,,瀬尾保雄,
株式会社技研サービス,2200001001537,建物総合管理,岐阜県岐阜市薮田南３丁目７番２０号,1583,1964,,棚橋泰之,
株式会社岐阜新聞社,2200001001347,日刊新聞発行,岐阜県岐阜市今小町１０番地,167,1940,,矢島薫,https://www.gifu-np.co.jp/
株式会社中広,2200001003384,"総合広告業
地域情報誌発行、広告販促・企画運営",岐阜県岐阜市東興町２７番地,505,1978,,大島斉,http://www.chuco.co.jp/
中日技研株式会社,2200001003401,,岐阜県岐阜市鏡島精華１丁目７番１９号,230,1989,,國井一輝,
昭和コンクリート工業株式会社,2200001002601,ＰＣ橋梁・コンクリート二次製品などの設計施工製造販売,岐阜県岐阜市香蘭１丁目１番地,792,1956,,村瀬大一郎,http://www.showa-con.co.jp/
株式会社美濃庄,2200001005273,寝具、介護用品の販売及びリース,岐阜県岐阜市六条北２丁目１２番８号,85,1951,,長村吉章,
株式会社那加クレーンセンター,2200001007088,教育、学習支援業,岐阜県各務原市那加新加納町３７７１番地,83,1986,,小島裕二郎,
株式会社ヒロコーポレーション,2200001008111,リネンサプライ業　寝具・衣類のリース,岐阜県岐阜市柳津町上佐波西５丁目３１番地,214,1964,,伊藤玲子,
株式会社浅井農園,1190001000038,,三重県津市高野尾町４９５１番地,137,1975,,浅井雄一郎,
百五ビジネスサービス株式会社,1190001000896,その他事業サービス業,三重県津市本町３３番２１号,175,1979,,福澤紳一,
株式会社トピア,1190001005227,新製品の開発試作、限定小ロット部品加工、輸送用機器・電気機器等の試作板金、高精密機械加工、精密溶接加工、デザイン設計業務,三重県鈴鹿市一ノ宮町１４７７番１,720,1973,,佐々木英樹,
シンフォニア商事株式会社,1190001006712,"卸売業・小売業
設計・製造派遣・請負",三重県伊勢市竹ケ鼻町１００番地,301,1970,,溝端浩輝,
株式会社ＵＬ　Ｊａｐａｎ,1190001006514,製品安全試験・認証、EMC（電磁環境両立性）測定・評価、セミナー提供,三重県伊勢市朝熊町４３８３番３２６,600,1980,,山上英彦,https://japan.ul.com/
株式会社安永,1190001008733,"エンジン部品、工作機械の製造販売
ワイヤソー本体及びその加工用工具部品の製造・販売
検査測定装置の製造・販売",三重県伊賀市緑ケ丘中町３８６０番地,583,,,安永暁俊,http://www.fine-yasunaga.co.jp/
株式会社クラウン警備保障,1190001010920,機械警備業務、ホームセキュリティサービス、施設警備業務、交通誘導警備業務、雑踏警備業務、保安警備業務,三重県松阪市久保町１８５５番地５０３,180,1999,,丸山臣彦,http://www.clg.co.jp
チヨダウーテ株式会社,1190001015556,内装建築資材『せっこうボード』の製造販売を行っております。,三重県四日市市住吉町１５番２号,400,,,平田芳久,
株式会社シー・ティー・ワイ,1190001015093,"一般放送事業
電気通信事業",三重県四日市市本町８番２号,226,1988,,渡部一貴,https://cty-cns.jp/
株式会社三水フーズ,2190001006686,,三重県伊勢市下野町６５３番地２０,135,1980,,上村昌路,
シンフォニアエンジニアリング株式会社,2190001006711,,三重県伊勢市竹ケ鼻町９９番地９６,481,1970,,永井博幸,
株式会社三十三銀行,2190001010309,銀行業,三重県四日市市西新地７番８号,2233,,,頭取岩間弘,http://www.33bank.co.jp/
株式会社東名,2190001015679,,三重県四日市市八田２丁目１番３９号,652,,,日比野直人,
株式会社扇港電機,2190001015290,電気設備資材・機器卸売,三重県四日市市北浜町８番１６号,925,1949,,横山大幸,http://www.senko-grp.co.jp
株式会社スズキ自販滋賀,1160001001088,自動車販売修理,滋賀県栗東市六地蔵１１７２番,193,1978,,堤光昭,https://www.suzuki.co.jp/dealer/sj-shiga/
第一設計監理株式会社,1160001004933,建設コンサルタント業,滋賀県湖南市中央１丁目６番地,123,1979,,谷口征司,
株式会社アイ・シー・エス,2190001006372,システムソフトウェア開発事業、システムソフトウェア商品事業、システム保守サービス事業、情報機器販売事業,三重県伊勢市竹ケ鼻町１００番地,169,1978,,御村恭至,http://www.ise-ics.co.jp
タカラバイオ株式会社,1160001002490,研究用試薬、理化学機器の開発製造販売、再生医療等製品の開発製造支援サービス、遺伝子解析受託サービス、遺伝子治療の臨床開発,滋賀県草津市野路東７丁目４番３８号,800,2002,,仲尾功一,http://www.takara-bio.co.jp/
近江鉄道株式会社,1160001008109,鉄道事業、自動車運送事業、観光事業、不動産事業、旅行業　他,滋賀県彦根市駅東町１５番１,920,1896,,藤井高明,http://www.ohmitetudo.co.jp/
ジャパンマテリアル株式会社,2190001015191,"①エレクトロニクス関連事業
②グラフィックスソリューション事業",三重県三重郡菰野町大字永井３０９８番２２,429,1997,,田中久男,http://www.j-materials.jp/
滋賀ダイハツ販売株式会社,1160001013406,,滋賀県栗東市大橋４丁目１番５号,437,1954,,鳥居和浩,
滋賀日野自動車株式会社,1160001014544,,滋賀県栗東市小柿３丁目２番３０号,115,2008,,荒木啓太,
株式会社アイテス,1160001016292,■太陽電池検査装置など各種検査装置の開発・販売　　■電子部品・材料の受託分析・解析・信頼性試験サービス　■法人向けPC・,滋賀県大津市栗林町１番６０号,100,1993,,五十嵐靖行,https://www.ites.co.jp/news/news202303-2.html
株式会社内田組,2160001000205,総合建設業,滋賀県大津市大江２丁目３３番３号,85,1970,,内田美千男,
島津産機システムズ株式会社,2160001000964,"一般機械器具製造業
産業機械の製造・販売",滋賀県大津市月輪１丁目８番１号,300,1962,,小西昭士,https://www.sis.shimadzu.co.jp/
株式会社近畿予防医学研究所,2160001000535,"臨床検査事業
調剤薬局事業
福祉用具、介護用品の販売、レンタル事業
サービス付き高齢者向け住宅の事業
通所介護、訪問介護",滋賀県大津市湖城が丘１９番９号,588,1962,,広田周一,https://www.kinkiyoken.co.jp/
株式会社アサプリ,2190001013443,印刷業,三重県桑名市大字安永９２３番地,164,2005,,松岡祐司,http://www.asapri.co.jp
株式会社伊藤組,2160001009444,,滋賀県彦根市小泉町７８番地の２１,52,2008,,奥村善行,
キタイ設計株式会社,2160001010600,建設コンサルタント,滋賀県近江八幡市安土町上豊浦１０３０番地,204,1966,,梶雅弘,
アインズ株式会社,2160001010617,印刷・同関連業,滋賀県蒲生郡竜王町鏡２２９１番地３,260,1961,,谷口彰,https://www.shiga-web.or.jp/eins/
キノンビクス株式会社,2160001013322,電気工事、電気通信工事,滋賀県栗東市高野５７７番地１,102,1970,,福永悟,https://www.kinon.co.jp/
株式会社協同,1210001007526,服飾副資材卸,岡山県倉敷市児島下の町９丁目１２番コ２号,112,1973,,西川源徳,http://kwl.co.jp/
株式会社岡山製紙,1260001001078,中芯原紙、紙管原紙、平板及び美粧段ボールの製造・販売,岡山県岡山市南区浜野１丁目４番３４号,191,,,宮田正樹,https://okayamaseishi.co.jp/
株式会社建美装社,1260001002282,総合ビルメンテナンス,岡山県岡山市中区江崎７２４番地５,199,1973,,山下祐一郎,https://www.kenbisosha.co.jp/
エネサーブ株式会社,2160001003901,総合エネルギーサービス業,滋賀県大津市月輪２丁目１９番６号,313,1965,,井上博司,https://www.eneserve.co.jp/
三洋環境株式会社,1260001002712,,岡山県岡山市北区下伊福上町８番２０号,700,1975,,小林寛嗣,
株式会社トヨタレンタリース岡山,1260001004799,レンタカー・カーリース事業,岡山県岡山市南区新保６５１番地３,216,1971,,梶谷俊介,
株式会社山陽セフティ,1260001002654,"警備業
（施設警備、機械警備、イベント警備）",岡山県岡山市北区西長瀬１２０６番地７,278,1972,,神坂伸一,http://www.sanyo-safety.com/
両備トランスポート株式会社,1250001004024,両備グループの部流部門として、両備トランスポートは長年蓄積した現場ノウハウと管理手法、ローコストオペレーションで強力にサ,岡山県岡山市中区新築港９番地の４,855,1999,,荒木一守,https://ryobitransport.com/
株式会社中国銀行,1260001006093,普通銀行業,岡山県岡山市北区丸の内１丁目１５番２０号,4205,,,頭取加藤貞則,http://www.chugin.co.jp
コーホク印刷株式会社,1260001002373,印刷業,岡山県岡山市北区高柳東町１０番２７号,103,1957,,安井英規,http://www.kohhoku.co.jp/
株式会社グロップサンセリテ,1260001008354,業務請負,岡山県岡山市北区今８丁目６番１４号,98,2004,,佐々岡英和,https://www.grop-sincerite.co.jp/sincerite
株式会社ベネッセコーポレーション（閉鎖）,1260001011820,"ベネッセコーポレーションは、教育・家庭事業領域において、
各カンパニーが商品・サービスを提供しています。

◆教育◆　
",岡山県岡山市北区南方３丁目７番１７号,2935,2009,,岩瀬大輔,http://www.benesse.co.jp/
カーツ株式会社,1260001009187,小型エンジンなどの設計・開発,岡山県岡山市東区西大寺五明３８７番地１,108,1979,,勝矢雅一,https://www.kaaz.co.jp/index.html
キヤノンマシナリー株式会社,2160001013058,先端分野の自動化・省力化装置の設計・製造・販売,滋賀県草津市南山田町字縄手崎８５番地,627,1972,,田島純一,https://machinery.canon/ja/index.html
株式会社コーセイカン,1260001013271,総合印刷業,岡山県倉敷市下庄１１２６番の６,88,1955,,内田正男,
中国精油株式会社,1260001004262,石油及び石油化学製品製造・販売,岡山県岡山市北区中山下２丁目１番７７号,168,1941,,樋口克彦,https://www.chusei-oil.com
株式会社クラレ,1260001013156,樹脂・化成品・繊維の研究開発・製造・販売,岡山県倉敷市酒津１６２１番地,4569,,,川原仁,http://www.kuraray.co.jp/
株式会社ジェイ・イー・ティ,1260001018766,,岡山県浅口郡里庄町大字新庄字金山６０７８番,181,,,平井洋行,
株式会社エルジオ,1260001022339,石油製品販売,岡山県玉野市日比５丁目９番７号,312,1944,,木村雄介,
株式会社ウインズ,1260001026406,,岡山県岡山市北区二日市町１７２番,106,2013,,橋本雄矢,
株式会社三井Ｅ＆Ｓテクニカルリサーチ,1260001022306,"1．レーダー調査
2．環境分析、 環境計測、成分分析
3．材料特性評価、非破壊検査、計測
4．損傷原因調査
5．余寿命評",岡山県玉野市玉３丁目１番１号,100,1979,,村田和俊,https://mestrc.co.jp/
株式会社アールエコ,2260001000161,"・水処理施設の設計施工管理
・貯水槽清掃業
・産業廃棄物収集運搬業　他",岡山県岡山市南区妹尾３２７３番地の３,124,1970,,八田達憲,
株式会社アビィング,2260001000335,塗料・塗装関連機器の販売,岡山県岡山市北区上中野１丁目１６番２号,80,1939,,中野佳成,http://www.abeing.co.jp
山陽電研株式会社,2260001002678,電気機器組み立て,岡山県岡山市中区乙多見４４９番地,259,1952,,吉田伸郎,https://www.sanyodenken.co.jp
ＯＥＣ株式会社,2260001001143,"システムインテグレーションサービス
ソフトウェア開発
ＩＤＣサービス
アウトソーシング
ＡＳＰサービス
ＷＥＢ関連サービ",岡山県岡山市北区本町６番３６号,285,1969,,佐藤俊治,http://www.oec-o.co.jp/
株式会社カロスアウラ,2260001005391,,岡山県岡山市南区当新田４４４番地７,204,1969,,吉國光和,
Ｈｉクラテス株式会社,2260001004724,,岡山県岡山市北区野田３丁目１２番３３号,143,,,飯塚正也,
株式会社ホスネット・ジャパン,2260001006084,,岡山県岡山市北区今１丁目３番１９号,334,1996,,松尾和憲,
株式会社中島商会,2260001004880,"●塗料・化成品・塗装設備・塗装機器等の販売
●塗装設備・ラインの稼働フォロー
●塗装における仕様・色彩の提案
●塗料の調",岡山県岡山市北区柳町２丁目２番２３号,372,1950,,中島弘晶,http://www.nakashima-shokai.co.jp/
株式会社岡山マツダ,2260001006225,"自動車販売・修理業務
自動車有償貸渡業務
損害保険代理店業務　　　　等",岡山県岡山市北区野田４丁目１４番２０号,268,1989,,中島史博,
株式会社イタミアート,2260001008618,,岡山県岡山市南区新保６６０－１５,161,,,伊丹一晃,
四国医療サービス株式会社,1490001000783,リネンサプライ業,愛媛県松山市久万ノ台１１９５番地,1056,1965,,吉永英人,
株式会社伊予鉄グループ,1500001000476,,愛媛県松山市湊町４丁目４番地１,50,,,清水一郎,
株式会社新来島どっく,1010001045595,各種船舶の建造、修理及び解体、船舶用機器並びにその他諸機械の製造及び修理,愛媛県今治市大西町新町甲９４５番地,850,1960,,森克司,https://www.skdy.co.jp/
