企業名,法人番号,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,Tier,取得元媒体,根拠URL,架電呼称,業種,都道府県,従業員数,補助金,設立年,取得日
株式会社ミツヤ,2210001004043,,,,山原 謙治,info@e-mitsuya.jp,0.4,,,http://www.e-mitsuya.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2210001004043,人事部 ご採用ご担当者様,染色整理加工業,福井県福井市山室町６９号１番地,247,,1968,2026-06-15T17:07:33.707Z
福井テレビジョン放送株式会社,2210001003689,,,,酒井 美樹男,info@fukui-tv.co.jp,0.4,,,http://www.fukui-tv.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2210001003689,人事部 ご採用ご担当者様,民間放送業,福井県福井市問屋町３丁目４１０番地,115,,1969,2026-06-15T17:07:33.710Z
株式会社カケヒ,2210001007517,,,,筧 智仁,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2210001007517,人事部 ご採用ご担当者様,,福井県坂井市丸岡町上金屋第１１号１３番地,70,,1989,2026-06-15T17:07:33.717Z
株式会社ジャクエツ,2210001010594,,,,徳本 達郎,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2210001010594,人事部 ご採用ご担当者様,,福井県敦賀市若葉町２丁目１７７０番地,607,,1986,2026-06-15T17:07:33.748Z
株式会社キャリアネットワーク,1210001008037,,,,中山 喜雄,info@cnw.co.jp,0.4,,,http://www.cnw.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1210001008037,人事部 ご採用ご担当者様,労働者派遣業,福井県福井市新田塚１丁目２５番１８号,77,,1974,2026-06-15T17:07:33.749Z
株式会社ヒットユニオン武生,2210001011881,,,,田辺 圭二,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2210001011881,人事部 ご採用ご担当者様,スポーツ・カジュアルウェアの製造・物流,福井県越前市向新保町１２－５,236,,1985,2026-06-15T17:07:33.753Z
福井鉄道株式会社,2210001011931,,,,吉川 幸文,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2210001011931,人事部 ご採用ご担当者様,鉄軌道業兼旅客自動車運送業,福井県越前市北府２丁目５番２０号,189,,,2026-06-15T17:07:33.768Z
株式会社カンパネラ,3011701015217,,,,平岡 和彦,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3011701015217,人事部 ご採用ご担当者様,アウトドア用品のインターネット通信販売、小売業,福井県坂井市春江町針原第２０号２９番地,93,,2009,2026-06-15T17:07:33.808Z
株式会社日研医学,3210001002649,,,,石田 衛,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3210001002649,人事部 ご採用ご担当者様,,福井県福井市和田中町１１０字２５番地,69,,1976,2026-06-15T17:07:33.825Z
株式会社三国,2210001007434,,,,坂本 和彦,info@s-mikuni.co.jp,0.4,,,https://www.s-mikuni.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2210001007434,人事部 ご採用ご担当者様,一般貨物運送事業,福井県坂井市三国町新保４０号６番地,220,,1962,2026-06-15T17:07:33.833Z
ネッツトヨタ福井株式会社,3210001002450,,,,窪田 裕之,info@netzfukui.co.jp,0.4,,,http://www.netzfukui.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3210001002450,人事部 ご採用ご担当者様,トヨタ系新車、各種中古車の販売、整備全般、損害保険代理業・情報通信業（auの携帯販売等）,福井県福井市今市町５８字１２番地,232,,1968,2026-06-15T17:07:33.834Z
株式会社マルモ,1090001002069,,,,丸茂 正樹,info@marumo-c.com,0.4,,,https://marumo-c.com,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1090001002069,人事部 ご採用ご担当者様,,山梨県甲府市天神町４番８号,55,,1949,2026-06-15T17:07:33.848Z
株式会社ＹＳＫｅ－ｃｏｍ,1090001002250,,,,奥山 栄樹,info@ysk.co.jp,0.4,,,http://www.ysk.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1090001002250,人事部 ご採用ご担当者様,【総合ＩＴ企業】 ・ソフトウェア開発 ・システム・インテグレーション ・ネットワークサービス ・ITコンサルティング ・,山梨県甲府市湯田１丁目１３番２号,250,,1986,2026-06-15T17:07:33.857Z
株式会社キトー,1090001003075,,,,鬼頭 芳雄,info@kito.com,0.4,,,http://kito.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1090001003075,人事部 ご採用ご担当者様,１．荷役機械、荷役設備およびこれに付随する建物 および施設の設計、製造、工事、販売ならびに 修理サービス業務 ２,山梨県中巨摩郡昭和町築地新居２０００番地,677,,1944,2026-06-15T17:07:33.865Z
日邦プレシジョン株式会社,1090001011160,,,,古屋 俊彦,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1090001011160,人事部 ご採用ご担当者様,,山梨県韮崎市穂坂町宮久保字三百水７３４番,199,,1984,2026-06-15T17:07:33.898Z
甲府警備保障株式会社,2090001000625,,,,名取 秀子,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2090001000625,人事部 ご採用ご担当者様,警備業,山梨県甲府市下飯田１丁目４番１１号,170,,1991,2026-06-15T17:07:33.908Z
株式会社ワイ・シー・シー,2090001002514,,,,長坂 正彦,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2090001002514,人事部 ご採用ご担当者様,ソフトウェア・情報処理サービス業,山梨県甲府市飯田３丁目１番２号,172,,1966,2026-06-15T17:07:33.930Z
甲信食糧株式会社,2090001002860,,,,中込 武文,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2090001002860,人事部 ご採用ご担当者様,,山梨県中央市山之神流通団地２－１－２,84,,1968,2026-06-15T17:07:33.932Z
飯田鉄工株式会社,2090001006473,,,,飯田 康雄,info@iida-tekko.co.jp,0.4,,,http://www.iida-tekko.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2090001006473,人事部 ご採用ご担当者様,水門、橋梁、除塵機、SRゲート等鋼構造物の設計・製作・据付・メンテナンス,山梨県笛吹市境川町石橋１３１４番地,188,,1958,2026-06-15T17:07:33.969Z
株式会社キャリアポケット,2090001013115,,,,中山 久子,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2090001013115,人事部 ご採用ご担当者様,人材派遣業,山梨県中巨摩郡昭和町清水新居８９７番地３,50,,2013,2026-06-15T17:07:33.981Z
プレミアムウォーター株式会社,3010701032338,,,,金本 彰彦,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3010701032338,人事部 ご採用ご担当者様,,山梨県富士吉田市上吉田４５９７番地の１,445,,2016,2026-06-15T17:07:33.990Z
第一貨物株式会社,2390001001089,,,,米田 総一郎,info@daiichi-kamotsu.co.jp,0.4,,,http://www.daiichi-kamotsu.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2390001001089,人事部 ご採用ご担当者様,貨物自動車運送事業／貨物利用運送事業／物流システムの設計、運用および管理の受託に関する事業／航空運送代理店業／通関業／倉,山形県山形市諏訪町２丁目１番２０号,5316,,1941,2026-06-15T17:07:34.000Z
株式会社コンピュータマインド,3090001000806,,,,加藤 吉一,info@compmind.co.jp,0.4,,,https://www.compmind.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3090001000806,人事部 ご採用ご担当者様,ソフトウェア開発,山梨県甲府市下飯田１丁目１０番８号,171,,1991,2026-06-15T17:07:34.005Z
ヒューコムエンジニアリング株式会社,3090001005020,,,,出井 智将,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3090001005020,人事部 ご採用ご担当者様,,山梨県中巨摩郡昭和町河西１２３２番地１,180,,2003,2026-06-15T17:07:34.010Z
アスフィール株式会社,3090001001928,,,,山本 浩明,info@asfeel.jp,0.4,,,https://www.asfeel.jp/recruit/culture/worklife/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3090001001928,人事部 ご採用ご担当者様,・学校用品事業（卒業記念品、卒業証書、コサージュ、ユニフォーム、プリントウェア等）の企画販売 ・学校デジタル支援事業,山梨県甲府市青沼３丁目１７番１５号,52,,1993,2026-06-15T17:07:34.017Z
株式会社富士情報,3090001010020,,,,渡辺 直企,info@fujijoho.co.jp,0.4,,,http://www.fujijoho.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3090001010020,人事部 ご採用ご担当者様,昭和４８年４月山梨県富士吉田で創業。平成５年４月社名を株式会社富士計算センターから株式会社富士情報に変更。データ入力業務,山梨県富士吉田市上吉田１丁目６番３号,310,,1973,2026-06-15T17:07:34.039Z
シミックファーマサイエンス株式会社,3430001022617,,,,夏目 貴弘,,0,,,http://www.cmic-phs.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3430001022617,人事部 ご採用ご担当者様,医薬品等の分析試験受託業,山梨県北杜市小淵沢町１０２２１番地,357,,1980,2026-06-15T17:07:34.043Z
日産プリンス山梨販売株式会社,4090001001662,,,,野田 文久,info@nissan-prince-yamanashi.co.jp,0.4,,,http://www.nissan-prince-yamanashi.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4090001001662,人事部 ご採用ご担当者様,自動車販売・整備,山梨県甲府市富竹２丁目１番２０号,175,,1969,2026-06-15T17:07:34.058Z
セコム山梨株式会社,4090001001200,,,,阿部 賢一,,0,,,http://www.secom-yamanashi.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4090001001200,人事部 ご採用ご担当者様,警備請負業,山梨県甲府市徳行３丁目１２番２５号,194,,1972,2026-06-15T17:07:34.061Z
山梨グローブシップ株式会社,4090001002314,,,,本宮 健志,info@yamanashi-gs.com,0.4,,,http://yamanashi-gs.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4090001002314,人事部 ご採用ご担当者様,ビルメンテナンス業,山梨県甲府市伊勢３丁目５番２４号,220,,1973,2026-06-15T17:07:34.069Z
キステム株式会社,1150001001717,,,,井門 一美,info@kistem.com,0.4,,,http://www.kistem.com/index.php,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1150001001717,人事部 ご採用ご担当者様,システム・ソフトウェアの企画・開発 インターネット関連サービス クラウドサービス コンピュータシステムの販売 情報処理サ,奈良県奈良市高天町１０－１Ｔ．Ｔ．ビル４階,60,,1984,2026-06-15T17:07:34.147Z
小山株式会社,1150001000818,,,,小山 智士,info@koyama-kk.co.jp,0.4,,,http://www.koyama-kk.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1150001000818,人事部 ご採用ご担当者様,寝具リース(レンタル)・販売 業務用クリーニング リネンサプライ 福祉用具レンタル・販売 介護用品販売 介護住宅リフォー,奈良県奈良市大森町４７番地の３,957,,1962,2026-06-15T17:07:34.152Z
シャープセミコンダクターイノベーション株式会社,1240001053798,,,,藤野 宏晃,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1240001053798,人事部 ご採用ご担当者様,電子デバイスの開発・生産・販売,奈良県天理市櫟本町２６１３番地の１,328,,2019,2026-06-15T17:07:34.194Z
株式会社奈良保健衞生社,2150001001773,,,,若原 邦弘,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2150001001773,人事部 ご採用ご担当者様,,奈良県奈良市法華寺町１４３０番地,250,,1948,2026-06-15T17:07:34.213Z
株式会社天理時報社,2150001006590,,,,前川 誠司,info@jihosha.co.jp,0.4,,,http://www.jihosha.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2150001006590,人事部 ご採用ご担当者様,新聞、雑誌、書籍、カレンダー、ポスター、カタログ、パンフレット等の 企画、デザイン、製版、印刷、製本,奈良県天理市稲葉町８０番地,174,,1940,2026-06-15T17:07:34.224Z
奈良ヤクルト販賣株式会社,3150001001789,,,,谷川 千代則,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3150001001789,人事部 ご採用ご担当者様,乳製品乳酸菌飲料、清涼飲料、食品、化粧品の販売,奈良県奈良市田中町字食田３５１番地の１,111,,1955,2026-06-15T17:07:34.277Z
株式会社ミライトリンク,3150001002688,,,,中本 和昭,info@miraitolink.co.jp,0.4,,,https://miraitolink.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3150001002688,人事部 ご採用ご担当者様,仕出し業,奈良県奈良市四条大路５丁目６番２０号,145,,1989,2026-06-15T17:07:34.308Z
近鉄ケーブルネットワーク株式会社,3150001004809,,,,桑原 克仁,info@kcn.jp,0.4,,,http://www.kcn.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3150001004809,人事部 ご採用ご担当者様,当社は、奈良県平野部においてケーブルテレビとインターネットサービスを展開しています。 当社と子会社のこまどりケーブルで奈,奈良県生駒市東生駒１丁目５番地,310,,1998,2026-06-15T17:07:34.311Z
イドタフレスコ株式会社,3150001006367,,,,前田 太一,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3150001006367,人事部 ご採用ご担当者様,,奈良県天理市川原城町１９６番地,122,,1969,2026-06-15T17:07:34.319Z
アスカ美装株式会社,3150001010261,,,,森脇 大統,info@asukabiso.co.jp,0.4,,,https://www.asukabiso.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3150001010261,人事部 ご採用ご担当者様,総合ビルメンテナンス・警備 ビールサーバーメンテナンス 日本語学校 指定管理・PFI事業,奈良県橿原市醍醐町２９６番地の１,510,,1977,2026-06-15T17:07:34.347Z
株式会社寺田ポンプ製作所,3150001013082,,,,寺田 典生,info@teradapump.co.jp,0.4,,,http://www.teradapump.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3150001013082,人事部 ご採用ご担当者様,各種揚排水ポンプ製造販売,奈良県大和高田市東雲町３番１７号,133,,1950,2026-06-15T17:07:34.353Z
株式会社柿の葉すし本舗たなか,3150001015426,,,,田中 妙子,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3150001015426,人事部 ご採用ご担当者様,食品製造業,奈良県五條市住川町１４９０番地,236,,1973,2026-06-15T17:07:34.363Z
株式会社吉川ゼネラルソリューション,1170001003505,,,,須磨 徳裕,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1170001003505,人事部 ご採用ご担当者様,,和歌山県和歌山市松江北７丁目６番５号,478,,1964,2026-06-15T17:07:34.408Z
和歌山国際セーフティー株式会社,1170001003736,,,,徳田 祐己,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1170001003736,人事部 ご採用ご担当者様,,和歌山県和歌山市東蔵前丁３番１７南海和歌山市駅ビル４階,151,,1981,2026-06-15T17:07:34.416Z
和歌山ヤクルト販売株式会社,1170001003876,,,,堀田 庄三,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1170001003876,人事部 ご採用ご担当者様,,和歌山県和歌山市岩橋７７５番地,124,,1958,2026-06-15T17:07:34.416Z
株式会社ＧＭＣＢ,1170001005212,,,,高垣 太郎,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1170001005212,人事部 ご採用ご担当者様,,和歌山県和歌山市井ノ口５４４番地２,56,,1972,2026-06-15T17:07:34.420Z
株式会社第一テック,1170001009394,,,,朝間 一議,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1170001009394,人事部 ご採用ご担当者様,,和歌山県田辺市稲成町３３６番地の１,101,,1964,2026-06-15T17:07:34.442Z
株式会社キナン,1170001011441,,,,角口 孝幸,info@kinan.co.jp,0.4,,,http://www.kinan.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1170001011441,人事部 ご採用ご担当者様,土木建設機械のリース、レンタル、販売、修理,和歌山県新宮市浮島１番２５号,692,,1981,2026-06-15T17:07:34.466Z
和歌山警備保障株式会社,2170001003710,,,,重根 一真,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2170001003710,人事部 ご採用ご担当者様,総合警備保障業務,和歌山県和歌山市出口甲賀丁５０番地,411,,1970,2026-06-15T17:07:34.477Z
トヨタカローラ和歌山株式会社,2170001002233,,,,西川 直人,info@c-wakayama.co.jp,0.4,,,https://www.c-wakayama.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2170001002233,人事部 ご採用ご担当者様,自動車の販売・修理,和歌山県和歌山市和歌浦西１丁目１番７号,176,,1962,2026-06-15T17:07:34.486Z
株式会社モリカワ,2170001008949,,,,森川 直巳,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2170001008949,人事部 ご採用ご担当者様,食品卸売業,和歌山県田辺市南新町１６８番地,50,,1977,2026-06-15T17:07:34.512Z
常石由良ドック株式会社,2170001010277,,,,近藤 学,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2170001010277,人事部 ご採用ご担当者様,大型船舶修理業,和歌山県日高郡由良町大字網代１９３番地の１３,181,,1988,2026-06-15T17:07:34.517Z
南陽食品株式会社,3170001002439,,,,濱田 茂,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3170001002439,人事部 ご採用ご担当者様,,和歌山県和歌山市和歌浦南３丁目１０番２５号,181,,1962,2026-06-15T17:07:34.546Z
株式会社キャリア・ブレスユー,3170001005326,,,,東 正志,info@c-blessyou.co.jp,0.4,,,https://c-blessyou.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3170001005326,人事部 ご採用ご担当者様,・人材確保 ・育成支援（人材派遣、職業紹介等） ・BPO事業(官公庁 ・民間業務の一部運営 ・管理),和歌山県和歌山市本町１丁目２２番地Ｗａｊｉｍａ本町ビル５階,83,,2006,2026-06-15T17:07:34.567Z
株式会社はまだ,3170001007891,,,,濱田 ひとみ,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3170001007891,人事部 ご採用ご担当者様,古紙卸売業,和歌山県紀の川市中井阪７４番地,183,,1987,2026-06-15T17:07:34.573Z
株式会社淺川組,4170001000086,,,,西口 伸,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4170001000086,人事部 ご採用ご担当者様,,和歌山県和歌山市小松原通３丁目６９番地,301,,1948,2026-06-15T17:07:34.596Z
株式会社庵田自動車商会,4170001000144,,,,庵田 靖人,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4170001000144,人事部 ご採用ご担当者様,自動車整備業,和歌山県和歌山市元寺町５丁目１番地,73,,1952,2026-06-15T17:07:34.598Z
株式会社ＫＥＧキャリア・アカデミー,3170002005110,,,,角野 寛典,info@k-e-g.co.jp,0.4,,,http://www.k-e-g.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3170002005110,人事部 ご採用ご担当者様,0歳児からお預かりする認可小規模保育園、幼児教室、学習塾、通信単位制高校、職業訓練学校・障がいのある方々への就労移行支援,和歌山県和歌山市友田町２丁目１４５番地ＫＥＧ教育センタービル,250,,2001,2026-06-15T17:07:34.603Z
株式会社豊工業所,4170001001794,,,,久保 晋典,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4170001001794,人事部 ご採用ご担当者様,,和歌山県和歌山市雑賀崎２０２１番地の９,117,,1957,2026-06-15T17:07:34.618Z
株式会社ＫＬ,2170001007331,,,,児嶋 正人,info@kl-foods.com,0.4,,,https://kl-foods.com/company/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2170001007331,人事部 ご採用ご担当者様,卸売,和歌山県有田市野４１４番地,140,,1975,2026-06-15T17:07:34.620Z
アイレス電子工業株式会社,4170001005556,,,,辻 正吾,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4170001005556,人事部 ご採用ご担当者様,,和歌山県海南市且来８４０番地,106,,1980,2026-06-15T17:07:34.635Z
株式会社丸和,4170001003155,,,,丸山 昌三,info@maruwa-wk.co.jp,0.4,,,http://www.maruwa-wk.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4170001003155,人事部 ご採用ご担当者様,リネンサプライ,和歌山県和歌山市坂田３４８番地,180,,1990,2026-06-15T17:07:34.636Z
鳥取トヨペット株式会社,1270001000938,,,,西村 公秀,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1270001000938,人事部 ご採用ご担当者様,自動車の販売および点検修理,鳥取県鳥取市安長８５０番地,179,,1957,2026-06-15T17:07:34.664Z
アクシスＩＴパートナーズ株式会社,1270001002166,,,,坂本 哲,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1270001002166,人事部 ご採用ご担当者様,システム開発、ITコンサルティング、インフラ設計構築・運用、Webサイト制作、ビジネス・プロセス・アウトソーシング、超地,鳥取県鳥取市扇町７番地鳥取フコク生命駅前ビル７階,175,,1993,2026-06-15T17:07:34.671Z
因幡環境整備株式会社,1270001002281,,,,國岡 稔,info@inaba-kankyo.co.jp,0.4,,,http://www.inaba-kankyo.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1270001002281,人事部 ご採用ご担当者様,一般廃棄物・産業廃棄物処理 食品リサイクル・環境保全型農業 廃プラスチックリサイクル 排水処理施設維持管理 管路内補修工,鳥取県鳥取市用瀬町美成３２３番地１,176,,1966,2026-06-15T17:07:34.688Z
株式会社ミヨシ産業,1270001003593,,,,谷野 利宏,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1270001003593,人事部 ご採用ご担当者様,,鳥取県米子市両三柳２３６０番地８,190,,1967,2026-06-15T17:07:34.692Z
株式会社米子高島屋,1270001004096,,,,森 紳二郎,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1270001004096,人事部 ご採用ご担当者様,百貨店事業,鳥取県米子市角盤町１丁目３０番地,112,,2003,2026-06-15T17:07:34.695Z
株式会社マックスサポート（閉鎖）,1270001004229,,,,平井 和治,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1270001004229,人事部 ご採用ご担当者様,コールセンター事業,鳥取県米子市東町２３４番地,375,,2004,2026-06-15T17:07:34.698Z
流通株式会社,1270001005029,,,,江原 剛,info@ryu-tsu.jp,0.4,,,http://ryu-tsu.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1270001005029,人事部 ご採用ご担当者様,運送事業 バス・旅行事業 イベント事業 暮らしサポート事業,鳥取県倉吉市巌城９９７番地３,149,,1955,2026-06-15T17:07:34.724Z
株式会社エタニ企業,2270001000086,,,,江谷 俊郎,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2270001000086,人事部 ご採用ご担当者様,ビルメンテナンス業,鳥取県鳥取市千代水２丁目４５番地,132,,1980,2026-06-15T17:07:34.728Z
株式会社玉川,2270001000417,,,,玉川 政一,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2270001000417,人事部 ご採用ご担当者様,不動産管理、環境リサイクル業,鳥取県鳥取市南隈４０８番,69,,1988,2026-06-15T17:07:34.733Z
永瀬石油株式会社（閉鎖）,2270001003452,,,,曽我部 一仁,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2270001003452,人事部 ご採用ご担当者様,,鳥取県米子市尾高町４７番地,151,,1949,2026-06-15T17:07:34.741Z
株式会社松本油店,2270001003584,,,,松本 泰宏,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2270001003584,人事部 ご採用ご担当者様,石油卸売業,鳥取県米子市流通町１５８番２０,132,,1986,2026-06-15T17:07:34.745Z
株式会社エスジーズ,2270001003659,,,,今出 上,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2270001003659,人事部 ご採用ご担当者様,,鳥取県米子市東山町８番地１,120,,1976,2026-06-15T17:07:34.750Z
株式会社きさらぎ,2270001004038,,,,木村 ミツヤ,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2270001004038,人事部 ご採用ご担当者様,文房具・事務機器・オリジナル雑貨小売販売,鳥取県境港市馬場崎町２１１番地１,56,,1967,2026-06-15T17:07:34.755Z
日産プリンス鳥取販売株式会社,2270001000557,,,,櫻井 誠己,,0,,,https://np-tottori.nissan-dealer.jp/top.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2270001000557,人事部 ご採用ご担当者様,自動車販売、自動車整備,鳥取県鳥取市千代水４丁目７番地,113,,1964,2026-06-15T17:07:34.758Z
平井工業株式会社,2270002006818,,,,平井 圭一,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2270002006818,人事部 ご採用ご担当者様,,鳥取県米子市河岡９５４番地１,51,,1988,2026-06-15T17:07:34.774Z
山陰警備保障株式会社,3270001000234,,,,藤田 泰央,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3270001000234,人事部 ご採用ご担当者様,,鳥取県鳥取市南安長１丁目１番２号,120,,1964,2026-06-15T17:07:34.778Z
山陰リネンサプライ株式会社,3270001000250,,,,水野 一久,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3270001000250,人事部 ご採用ご担当者様,総合ビル管理・警備、清掃資材販売,鳥取県鳥取市立川町２丁目３２５番地,152,,1961,2026-06-15T17:07:34.778Z
株式会社チュウブ,2270001004905,,,,小柴 雅央,info@danketurf.com,0.4,,,http://www.danketurf.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2270001004905,人事部 ご採用ご担当者様,土木、造園、法面、建築設計施工　ゴルフ場メンテナンス、コース改造、ゴルフ場運営、各種芝生生産販売、芝生関連工事メンテナン,鳥取県東伯郡琴浦町大字逢束１０６１番地６,670,,1973,2026-06-15T17:07:34.781Z
美保テクノス株式会社,3270001003600,,,,野津 健市,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3270001003600,人事部 ご採用ご担当者様,,鳥取県米子市昭和町２５番地,229,,1958,2026-06-15T17:07:34.800Z
やまこう建設株式会社,3270001000795,,,,鶴石 健治,info@yamakou-net.co.jp,0.4,,,https://www.yamakou-net.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3270001000795,人事部 ご採用ご担当者様,道路・橋梁・港湾工事等や道路維持・除雪等のインフラ整備、公共施設・民間施設等の建築・解体工事,鳥取県鳥取市南隈２５５番地,81,,1949,2026-06-15T17:07:34.812Z
