企業名,法人番号,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,Tier,取得元媒体,根拠URL,架電呼称,業種,都道府県,従業員数,補助金,設立年,取得日
株式会社京進,1130001017021,,,,立木康之,,0,,,https://group.kyoshin.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1130001017021,人事部 ご採用ご担当者様,【私たちは、全従業員の物心両面の豊かさを追求するとともに、日本と世界の教育・文化の向上、社会の進歩と善良化に貢献します】,京都府京都市下京区烏丸通五条下る大坂町３８２番地１,732,,,2026-06-14T13:56:02.663Z
株式会社エース,1130001016650,,,,松川統久,,0,,,https://www.pref.kyoto.jp/wlbsuisin/corp/pdf/N-196.pdf,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1130001016650,人事部 ご採用ご担当者様,綜合建設コンサルタント,京都府京都市下京区七条通木屋町上る大宮町２０５番地,192,,1966,2026-06-14T13:56:02.672Z
株式会社ワコールキャリアサービス,1130001019323,,,,小林喜秀,,0,,,http://www.e-wacs.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1130001019323,人事部 ご採用ご担当者様,労働者派遣事業,京都府京都市南区吉祥院中島町２９番地,385,,1998,2026-06-14T13:56:02.689Z
トヨタカローラ京都株式会社,1130001021849,,,,山本宏樹,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1130001021849,人事部 ご採用ご担当者様,自動車販売（新車・中古車) 自動車整備 保険販売 情報通信機器販売,京都府京都市中京区西ノ京南大炊御門町１番地の１,408,,1972,2026-06-14T13:56:02.698Z
ナカライテスク株式会社,1130001021948,,,,半井大,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1130001021948,人事部 ご採用ご担当者様,,京都府京都市中京区二条通烏丸西入東玉屋町４９８番地,400,,1958,2026-06-14T13:56:02.703Z
株式会社ダイワ・セキュリティー・システム,1130001025528,,,,中井敬藏,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1130001025528,人事部 ご採用ご担当者様,警備業,京都府京都市西京区樫原下ノ町２３番地３,270,,1996,2026-06-14T13:56:02.721Z
日本ニューロン株式会社,1130001037333,,,,岩本泰一,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1130001037333,人事部 ご採用ご担当者様,,京都府相楽郡精華町光台３丁目２番地１８,50,,1983,2026-06-14T13:56:02.764Z
星和電機株式会社,1130001038463,,,,増山晃章,info@seiwa.co.jp,0.4,,,http://www.seiwa.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1130001038463,人事部 ご採用ご担当者様,情報表示システム、産業用照明機器、道路・トンネル照明機器、ノイズ対策製品、配線保護機材の製造販売,京都府城陽市寺田新池３６番地,613,,1949,2026-06-14T13:56:02.792Z
西武緑化管理株式会社,1012701000524,,,,赤土正浩,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1012701000524,人事部 ご採用ご担当者様,,埼玉県所沢市緑町１丁目１番１１号,109,,1971,2026-06-14T13:56:02.809Z
埼玉トヨペット株式会社,1030001003329,,,,坂井俊哉,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001003329,人事部 ご採用ご担当者様,,埼玉県さいたま市中央区上落合２丁目２番１号,1642,,1956,2026-06-14T13:56:02.823Z
太陽管財株式会社,1030001005250,,,,齊藤敏雄,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001005250,人事部 ご採用ご担当者様,,埼玉県さいたま市北区日進町３丁目８番地,300,,1972,2026-06-14T13:56:02.842Z
株式会社島忠,1030001004269,,,,岡野恭明,info@shimachu.co.jp,0.4,,,http://www.shimachu.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001004269,人事部 ご採用ご担当者様,家具・インテリア雑貨（カーテン・カーペット・インテリア小物ほか）の小売業 ホームセンター商品（日用品・園芸・ペット・木材,埼玉県さいたま市中央区上落合８丁目３番３２号,5405,,,2026-06-14T13:56:02.844Z
株式会社ハイデイ日高,1030001006892,,,,青野敬成,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001006892,人事部 ご採用ご担当者様,,埼玉県さいたま市大宮区大門町２丁目１１８番地,1088,,1956,2026-06-14T13:56:02.847Z
株式会社丸電,1030001008006,,,,丸山正,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001008006,人事部 ご採用ご担当者様,,埼玉県さいたま市西区三橋５丁目１８３４番地１,90,,1967,2026-06-14T13:56:02.851Z
株式会社むさしビルクリーナー,1030001008261,,,,坪井宣子,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001008261,人事部 ご採用ご担当者様,,埼玉県さいたま市浦和区常盤３丁目３番９号,487,,1965,2026-06-14T13:56:02.855Z
株式会社パレスエンタープライズ,1030001006950,,,,佐々木圭,info@palace-omiya.co.jp,0.4,,,http://www.palace-omiya.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001006950,人事部 ご採用ご担当者様,国際観光ホテル整備法に基づくホテル業,埼玉県さいたま市大宮区桜木町１丁目７番地５,200,,1987,2026-06-14T13:56:02.857Z
株式会社エクス・アドメディア,1030001014086,,,,中村俊宏,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001014086,人事部 ご採用ご担当者様,展示会・イベント会場設営の建設,埼玉県さいたま市南区内谷４丁目１１番２６号,70,,2007,2026-06-14T13:56:02.877Z
株式会社オプトエレクトロニクス,1030001020927,,,,野々垣龍哉,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001020927,人事部 ご採用ご担当者様,,埼玉県蕨市塚越４丁目１２番１７号,58,,,2026-06-14T13:56:02.899Z
株式会社アールキューブ,1030001027922,,,,五留場仁バハラム,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001027922,人事部 ご採用ご担当者様,,埼玉県所沢市大字神米金４９０番地３,125,,1996,2026-06-14T13:56:02.932Z
埼玉西ヤクルト販売株式会社,1030001026924,,,,青柳進,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001026924,人事部 ご採用ご担当者様,,埼玉県入間市高倉５丁目１１番１号,131,,1977,2026-06-14T13:56:02.937Z
株式会社アイチコーポレーション,1030001042723,,,,山岸俊哉,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001042723,人事部 ご採用ご担当者様,,埼玉県上尾市大字領家字山下１１５２番地の１０,1076,,1943,2026-06-14T13:56:02.964Z
ニッポンレンタカー北関東株式会社,1030001044141,,,,山田貢,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001044141,人事部 ご採用ご担当者様,カーレンタル事業 カーリース事業 中古車販売事業,埼玉県上尾市緑丘２丁目６番３号,478,,2010,2026-06-14T13:56:02.978Z
ユー・エム・シー・エレクトロニクス株式会社,1030001044117,,,,大年浩太,info@umc.co.jp,0.4,,,http://www.umc.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001044117,人事部 ご採用ご担当者様,EMS(Electronics Manufacturing Service)企業として車載機器・ＯＡ機器から産業機器まで,埼玉県上尾市大字瓦葺７２１番地,580,,,2026-06-14T13:56:02.990Z
新報国マテリアル株式会社,1030001054909,,,,成瀬正,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001054909,人事部 ご採用ご担当者様,,埼玉県川越市新宿町５丁目１３番地１,99,,,2026-06-14T13:56:03.007Z
株式会社オプトラン,1030001056764,,,,範賓,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001056764,人事部 ご採用ご担当者様,,埼玉県鶴ヶ島市富士見６丁目１番１,87,,,2026-06-14T13:56:03.022Z
アイ・エム・アイ株式会社,1030001063447,,,,林健,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001063447,人事部 ご採用ご担当者様,,埼玉県越谷市流通団地３丁目３番１２号,266,,1974,2026-06-14T13:56:03.040Z
旭産業株式会社,1030001060114,,,,牛久保尚志,info@asahi-sangyo.biz,0.4,,,https://www.asahi-sangyo.biz/news/20251023-970/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001060114,人事部 ご採用ご担当者様,カーエアコン用コンプレッサ関連部品の精密加工,埼玉県本庄市沼和田９４８番地,64,,,2026-06-14T13:56:03.049Z
株式会社イハシエネルギー,1030001063604,,,,井橋英蔵,info@ihashi-hd.net,0.4,,,https://ihashi-hd.net,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1030001063604,人事部 ご採用ご担当者様,石油類小売業,埼玉県越谷市流通団地１丁目１番２号,462,,1998,2026-06-14T13:56:03.058Z
株式会社銚子丸,1040001001199,,,,石井憲,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001001199,人事部 ご採用ご担当者様,グルメ回転寿司事業,千葉県千葉市美浜区浜田２丁目３９番地,3287,,,2026-06-14T13:56:03.104Z
興栄燃料株式会社,1040001002206,,,,加藤聖教,info@koei-e.jp,0.4,,,http://www.koei-e.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001002206,人事部 ご採用ご担当者様,石油製品の卸小売、住宅設備機器の販売等,千葉県千葉市中央区新宿２丁目５番１０号,90,,1950,2026-06-14T13:56:03.124Z
千葉テレビ放送株式会社,1040001004838,,,,青柳洋治,info@chiba-tv.com,0.4,,,https://www.chiba-tv.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001004838,人事部 ご採用ご担当者様,◆テレビ番組の制作及び放送 ◆地元報道機関としての報道活動 ◆顧客の広告宣伝活動をプロデュースする業務 ◆イベントの企画,千葉県千葉市中央区都町１丁目１番２５号,71,,1970,2026-06-14T13:56:03.134Z
株式会社エイシル,1040001009432,,,,長谷川雄一,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001009432,人事部 ご採用ご担当者様,,千葉県千葉市中央区新町２４番地９,146,,2003,2026-06-14T13:56:03.147Z
オネスティオフィスサポート株式会社,1040001011735,,,,駒井祐子,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001011735,人事部 ご採用ご担当者様,,千葉県千葉市若葉区高品町１０７９番２,245,,2007,2026-06-14T13:56:03.151Z
ＡＬＳＯＫ千葉株式会社,1040001008244,,,,高野明,info@alsok-chiso.co.jp,0.4,,,http://www.alsok-chiso.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001008244,人事部 ご採用ご担当者様,警備業,千葉県千葉市花見川区幕張本郷１丁目３番３３号,484,,1975,2026-06-14T13:56:03.156Z
船橋興産株式会社,1040001019365,,,,高橋政行,info@funabashikousan.co.jp,0.4,,,https://funabashikousan.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001019365,人事部 ご採用ご担当者様,廃棄物処理業,千葉県船橋市高瀬町３１番地２,110,,1975,2026-06-14T13:56:03.200Z
日本サービス株式会社,1040001036451,,,,染谷眞之,info@ns-k.co.jp,0.4,,,http://www.ns-k.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001036451,人事部 ご採用ご担当者様,廃棄物処理業,千葉県松戸市主水新田４７６番地１０,66,,1966,2026-06-14T13:56:03.238Z
株式会社丸長青果,1040001036988,,,,長谷川大介,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001036988,人事部 ご採用ご担当者様,,千葉県松戸市小金原６丁目１１番地５,52,,1981,2026-06-14T13:56:03.240Z
株式会社ＮＴＴデータ・エム・シー・エス,1040001036848,,,,飯塚浩,info@mcserve.co.jp,0.4,,,https://www.mcserve.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001036848,人事部 ご採用ご担当者様,・コンピュータとその関連機器および情報通信ネットワーク利用によるデータ処理に関する受託業務 ・コンピュータとその関連機器,千葉県松戸市松戸２０５９番地,116,,1973,2026-06-14T13:56:03.248Z
イケア・ジャパン株式会社,1040001021866,,,,ペトラファーレ,info@ikea.com,0.4,,,https://www.ikea.com/jp/ja/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001021866,人事部 ご採用ご担当者様,ホームファニッシング商品の販売,千葉県船橋市浜町２丁目３番３０号５階,3600,,2002,2026-06-14T13:56:03.257Z
株式会社ジェス,1040001042929,,,,長谷川直行,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001042929,人事部 ご採用ご担当者様,ビルメンテナンス 人材派遣,千葉県成田市飯田町１０８番９佐野屋ビル２０１号,271,,1995,2026-06-14T13:56:03.266Z
株式会社アイム,1040001042689,,,,宮城盛保,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001042689,人事部 ご採用ご担当者様,空港保安警備の事業,千葉県成田市本三里塚２２５番地１７,354,,1990,2026-06-14T13:56:03.267Z
株式会社ＰＣＥＲ,1040001041971,,,,小菅敏裕,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001041971,人事部 ご採用ご担当者様,,千葉県流山市鰭ケ崎４７４番地,70,,1990,2026-06-14T13:56:03.268Z
株式会社シー・エス・ランバー,1040001057646,,,,中井千代助,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001057646,人事部 ご採用ご担当者様,,千葉県千葉市花見川区幕張本郷１丁目１６番３号,210,,,2026-06-14T13:56:03.307Z
鈴木建設株式会社,1040001061846,,,,鈴木和彦,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001061846,人事部 ご採用ご担当者様,建設業・1級建築士事務所,千葉県旭市後草２３６４番地の３,50,,1971,2026-06-14T13:56:03.315Z
日本設備管理株式会社,1040001066176,,,,林克次,info@nihon-setsubi.co.jp,0.4,,,http://www.nihon-setsubi.co.jp/index.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1040001066176,人事部 ご採用ご担当者様,ビルメンテナンス業,千葉県柏市高田１３７６番地,196,,1971,2026-06-14T13:56:03.346Z
株式会社アイガー,1010001035258,,,,木田裕士,info@field.ne.jp,0.4,,,https://www.field.ne.jp/about/privacy.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001035258,人事部 ご採用ご担当者様,広告業,東京都千代田区丸の内１丁目９番１号グラントウキョウノースタワー３６階,92,,1990,2026-06-14T13:56:03.372Z
王子エンジニアリング株式会社,1010001039770,,,,村田英司,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001039770,人事部 ご採用ご担当者様,王子グループの技術統括業務並びに各種プラントの計画立案・設計・施工,東京都中央区銀座４丁目７番５号,305,,1964,2026-06-14T13:56:03.379Z
イシグロ株式会社,1010001036925,,,,石黒克司,info@ishiguro-gr.co.jp,0.4,,,http://www.ishiguro-gr.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001036925,人事部 ご採用ご担当者様,各種バルブ及び総合配管機材商社,東京都中央区八丁堀４丁目５番８号,1042,,1950,2026-06-14T13:56:03.391Z
ザインエレクトロニクス株式会社,1010001044837,,,,南洋一郎,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001044837,人事部 ご採用ご担当者様,,東京都千代田区神田美土代町９番地１,86,,,2026-06-14T13:56:03.392Z
日本紙通商株式会社,1010001045983,,,,瀬戸昭裕,info@np-t.co.jp,0.4,,,https://www.np-t.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001045983,人事部 ご採用ご担当者様,○紙・板紙および紙・板紙関連製品の仕入販売 ○フィルムおよびフィルム関連製品の仕入販売 ○化学工業製品の仕入販売,東京都千代田区神田駿河台４丁目６番地,385,,1979,2026-06-14T13:56:03.424Z
第一高周波工業株式会社,1010001048722,,,,平山鋼太郎,info@dhf.co.jp,0.4,,,https://dhf.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001048722,人事部 ご採用ご担当者様,金属製品製造加工,東京都中央区日本橋馬喰町１丁目６番２号,484,,1950,2026-06-14T13:56:03.430Z
高橋カーテンウォール工業株式会社,1010001049480,,,,高橋武治,info@t-cw.co.jp,0.4,,,https://www.t-cw.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001049480,人事部 ご採用ご担当者様,プレキャストコンクリートカーテンウォールの設計、製造、施工,東京都中央区日本橋本町１丁目５番４号,192,,,2026-06-14T13:56:03.443Z
株式会社東洋経済新報社,1010001051874,,,,山田徹也,info@toyokeizai.net,0.4,,,https://toyokeizai.net/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001051874,人事部 ご採用ご担当者様,デジタルメディア事業、雑誌事業、書籍事業、プロモーション事業、データ事業,東京都中央区日本橋本石町１丁目２番１号,327,,1921,2026-06-14T13:56:03.451Z
東レプラスチック精工株式会社,1010001051932,,,,佐藤裕之,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001051932,人事部 ご採用ご担当者様,,東京都中央区日本橋本石町４丁目６番７号,362,,1961,2026-06-14T13:56:03.452Z
株式会社東証コンピュータシステム,1010001051437,,,,竹林義修,info@tcs.co.jp,0.4,,,https://www.tcs.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001051437,人事部 ご採用ご担当者様,■金融証券ソリューション ■IR支援サービス ■ITアウトソーシング ■情報セキュリティソリューション ■オフィスソリュ,東京都港区虎ノ門５丁目１３番１号虎ノ門４０ＭＴビル８階,171,,1961,2026-06-14T13:56:03.455Z
東洋熱工業株式会社,1010001051916,,,,谷口昌伸,info@tonets.co.jp,0.4,,,http://www.tonets.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001051916,人事部 ご採用ご担当者様,管工事業,東京都中央区京橋２丁目５番１２号,843,,1937,2026-06-14T13:56:03.459Z
株式会社ナンシン,1010001053053,,,,諏訪隆博,info@nansin.co.jp,0.4,,,https://www.nansin.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001053053,人事部 ご採用ご担当者様,キャスター、台車等製造販売,東京都中央区日本橋人形町１丁目１７番４号,169,,,2026-06-14T13:56:03.468Z
株式会社ビッグアビリティ,1010001055157,,,,大原博,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001055157,人事部 ご採用ご担当者様,,東京都渋谷区代々木２丁目１番１号,278,,1982,2026-06-14T13:56:03.477Z
西川株式会社,1010001053631,,,,西川康行,info@nishikawa1566.com,0.4,,,https://www.nishikawa1566.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001053631,人事部 ご採用ご担当者様,●寝具、寝装品、インテリア用品、ベビー用品等の製造卸売業 ●健康機器の製造卸売業 ●宝石、貴金属の卸売業 ●家具、室内装,東京都中央区日本橋富沢町８番８号,1200,,1947,2026-06-14T13:56:03.484Z
株式会社廣瀬商会,1010001054927,,,,廣瀬慶太郎,info@hiroseshokai.co.jp,0.4,,,http://www.hiroseshokai.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001054927,人事部 ご採用ご担当者様,繊維を中心とした総合商社。 繊維、機械、化成品、防災用品、メディカル製品の販売・リースレンタル、企画、生産管理、 サービ,東京都中央区日本橋３丁目１番１７号,166,,1961,2026-06-14T13:56:03.496Z
丸三証券株式会社,1010001057236,,,,菊地稔,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001057236,人事部 ご採用ご担当者様,金融商品取引業,東京都千代田区麹町３丁目３番６,1112,,,2026-06-14T13:56:03.497Z
株式会社東京エコール,1010001059174,,,,杉山一徳,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001059174,人事部 ご採用ご担当者様,,東京都中央区日本橋横山町９番１５号,327,,1964,2026-06-14T13:56:03.499Z
ミツワ電機株式会社,1010001058408,,,,嶋田博,info@mitsuwadenki.co.jp,0.4,,,https://www.mitsuwadenki.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001058408,人事部 ご採用ご担当者様,電設資材・住宅設備機器の総合商社,東京都中央区東日本橋２丁目２６番３号,909,,1939,2026-06-14T13:56:03.509Z
株式会社ヨネイ,1010001060074,,,,大田健治,info@yonei.co.jp,0.4,,,https://www.yonei.co.jp/ryouritsu.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001060074,人事部 ご採用ご担当者様,機械器具卸売業,東京都中央区銀座２丁目８番２０号,148,,1920,2026-06-14T13:56:03.526Z
東京貿易テクノシステム株式会社,1010001061642,,,,水原弘人,info@tbts.co.jp,0.4,,,https://www.tbts.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001061642,人事部 ご採用ご担当者様,,東京都中央区京橋２丁目２番１号,128,,1994,2026-06-14T13:56:03.529Z
日本検査キューエイ株式会社,1010001062013,,,,児島明彦,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001062013,人事部 ご採用ご担当者様,,東京都中央区入船２丁目１番１号,200,,1992,2026-06-14T13:56:03.533Z
株式会社アヴァンティスタッフ,1010001061972,,,,黒川良太,info@avantistaff.com,0.4,,,http://www.avantistaff.com/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001061972,人事部 ご採用ご担当者様,総合人材サービス会社 ・人材派遣 ・人材紹介 ・アウトソーシング ・一般研修 ・語学研修,東京都中央区日本橋兜町６番７号,3000,,1984,2026-06-14T13:56:03.536Z
株式会社日本デザインセンター,1010001062302,,,,原研哉,info@ndc.co.jp,0.4,,,http://www.ndc.co.jp,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001062302,人事部 ご採用ご担当者様,広告・デザインの企画及び制作,東京都中央区銀座４丁目９番１３号,298,,1959,2026-06-14T13:56:03.542Z
グローブシップ総合管理株式会社,1010001062434,,,,新井一広,info@gs-tm.jp,0.4,,,https://www.gs-tm.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001062434,人事部 ご採用ご担当者様,総合ビル管理,東京都港区芝４丁目１１番３号,150,,1973,2026-06-14T13:56:03.554Z
株式会社ジェイック,1010001066022,,,,兼佐藤剛志,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001066022,人事部 ご採用ご担当者様,,東京都千代田区神田神保町１丁目１０１番神保町１０１ビル７階,256,,,2026-06-14T13:56:03.569Z
株式会社第一ビルデイング,1010001065445,,,,明石衛,info@dai-ichi-building.co.jp,0.4,,,http://www.dai-ichi-building.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001065445,人事部 ご採用ご担当者様,・不動産の賃貸 ・不動産の取得、所有および処分 ・不動産の管理および賃貸借の受託 ・不動産の仲介 ・不動産に関する企画・,東京都品川区大崎１丁目２番２号,515,,1956,2026-06-14T13:56:03.576Z
いちご株式会社,1010001068118,,,,長谷川拓磨,info@ichigo.gr.jp,0.4,,,https://www.ichigo.gr.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001068118,人事部 ご採用ご担当者様,アセットマネジメント、心築、クリーンエネルギー事業,東京都千代田区丸の内２丁目６番１号,237,,,2026-06-14T13:56:03.586Z
株式会社一六堂,1010001065395,,,,柚原洋一,info@ichirokudo.com,0.4,,,http://www.ichirokudo.com,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001065395,人事部 ご採用ご担当者様,飲食店の経営,東京都中央区八重洲１丁目６番１号ＴＯＦＲＯＭ・ＹＡＥＳＵ・ＴＯＷＥＲ９階,270,,,2026-06-14T13:56:03.587Z
株式会社パソナ,1010001067359,,,,中尾慎太郎,info@pasona.co.jp,0.4,,,http://www.pasona.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001067359,人事部 ご採用ご担当者様,・一般および特定労働者派遣業務 ・再就職支援事業 ・有料職業紹介事業 ・インターネットを利用した広告、宣伝に関する企画、,東京都千代田区丸の内１丁目５番１号,3000,,1988,2026-06-14T13:56:03.587Z
株式会社ＮＴＴドコモ,1010001067912,,,,吉澤和弘,info@nttdocomo.co.jp,0.4,,,http://www.nttdocomo.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001067912,人事部 ご採用ご担当者様,携帯電話事業を主な事業とし、その主要な営業種目は次のとおりです。 ■通信事業 携帯電話サービス（５G サービス、LTE,東京都千代田区永田町２丁目１１番１号,13896,,1991,2026-06-14T13:56:03.587Z
株式会社イーブックイニシアティブジャパン（閉鎖）,1010001069108,,,,高橋将峰,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001069108,人事部 ご採用ご担当者様,,東京都千代田区麹町１丁目１２番地１,211,,,2026-06-14T13:56:03.598Z
株式会社ＩＤＯＭ,1010001069520,,,,羽鳥由宇介（戸籍名：羽鳥裕介）,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001069520,人事部 ご採用ご担当者様,自動車販売、買取,東京都千代田区丸の内２丁目７番２号,4000,,,2026-06-14T13:56:03.601Z
株式会社プロシップ,1010001073852,,,,鈴木資史,info@proship.co.jp,0.4,,,http://www.proship.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001073852,人事部 ご採用ご担当者様,ソフトウェアパッケージ開発・販売,東京都千代田区飯田橋３丁目８番５号,276,,,2026-06-14T13:56:03.623Z
株式会社フェローテック,1010001075980,,,,賀賢漢,,,,,,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001075980,人事部 ご採用ご担当者様,,東京都中央区日本橋２丁目３番４号,169,,,2026-06-14T13:56:03.626Z
商船三井テクノトレード株式会社,1010001074512,,,,福島正男,info@motech.co.jp,0.4,,,https://www.motech.co.jp/,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001074512,人事部 ご採用ご担当者様,船舶用の燃料油・潤滑油の販売、各種機器・資材・部品・通信関連機材の販売など,東京都千代田区神田錦町２丁目２番地１,182,,1948,2026-06-14T13:56:03.634Z
株式会社ＫＰＭＧ　ＦＡＳ,1010001075808,,,,岡田光,,0,,,https://home.kpmg/jp/ja/home/about/fas.html,C,gBizINFO,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001075808,人事部 ご採用ご担当者様,サービス業（アドバイザリー）,東京都千代田区大手町１丁目９番５号,959,,2001,2026-06-14T13:56:03.635Z
