企業名,法人番号,品質スコア,優先度,属性ランク,intent★,新卒フラグ,系統,取得元媒体,起点系統,起点ソース,ソース数,トリガー,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,業種,都道府県,従業員数,設立年,補助金,ICP適合,採用インテント,データ品質,タイミング,インテント根拠,スコア根拠,取得日,掲載媒体,掲載媒体数,採用予定人数,採用ページ有無,採用ページURL,新卒言及,職種,外部採用媒体,根拠,プレスリリース,採用ページ更新,インテント,辞退シグナル
株式会社昭和メディカルサイエンス,1010001112338,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,氏家永一郎,,,,,http://www.sms.co.jp,臨床検査受託業,東京都千代田区麹町４丁目７番５号,730,1979,,46,46,25,70,実シグナル,ICP:規模730=ICP外 / ICP:設立47年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.sms.co.jp/recruit/,○,営業,,top-anchor,,,,
日本郵便株式会社,1010001112577,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,小池信也,,,,,http://www.post.japanpost.jp/,郵便業務、銀行窓口業務、保険窓口業務、印紙の売りさばき、地方公共団体からの受託業務、前記以外の銀行業、生命保険業及び損害,東京都千代田区大手町２丁目３番１号,331994,2007,,46,46,25,70,実シグナル,ICP:規模331994=ICP外 / ICP:設立19年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.post.japanpost.jp/employment/index.html,○,企画,,top-anchor,,,,
タイムズサービス株式会社,1010001115423,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,川上紀文,,,,,https://www.park24.co.jp/company/timesservice/,"『駐車場総合管理』
無人時間貸駐車場の機器メンテナンス及び、巡回、清掃、駐車場管理コンサルティング、駐車場有人管理 、駐",東京都品川区西五反田２丁目２０番４号,2498,1992,,46,46,25,70,実シグナル,ICP:規模2498=ICP外 / ICP:設立34年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.park24.co.jp/recruit/,○,営業,career.park24.co.jp,common-path,,,,
パナソニックデジタル株式会社,1120001110280,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,阿部裕,,,,,https://panasonic.co.jp/is-c/,情報サービス,大阪府大阪市北区末広町２番４０号,2200,1999,,46,46,25,70,実シグナル,ICP:規模2200=ICP外 / ICP:設立27年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://digital.panasonic.co.jp/recruit/,○,企画,,top-anchor,,,,
株式会社アペックス,1180001092373,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,石原豊史,,,,,https://www.apex-co.co.jp/,"自動販売機による飲料等販売（飲料自販機オペレーター）

行動計画については、グループ内下記の会社にて適用。
・株式会社ア",愛知県大府市柊山町２丁目４１８番地,1319,1963,,46,46,25,70,実シグナル,ICP:規模1319=ICP外 / ICP:設立63年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.apex-co.co.jp/recruit/mid_career.html,○,営業/介護/販売,,top-anchor,,,,
中部電力パワーグリッド株式会社,1180001135974,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,清水隆一,,,,,https://www.chuden.co.jp/csr/div_woman/,一般送配電事業　など,愛知県名古屋市東区東新町１番地,11451,2019,,44,46,25,70,実シグナル,ICP:規模11451=ICP外 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.chuden.co.jp/recruit/,○,販売,,top-anchor,,,,
株式会社東芝,2010401044997,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,島田太郎,,,,,https://www.global.toshiba/jp/sustainability/corporate/social.html,エネルギー・社会インフラ・電子デバイス・デジタルソリューションの4つの事業領域で、さまざまな製品・サービスをグローバルに,神奈川県川崎市幸区堀川町７２番地３４,9430,1904,,46,46,25,70,実シグナル,ICP:規模9430=ICP外 / ICP:設立122年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.global.toshiba/jp/recruit/corporate.html,○,エンジニア/事務,,top-anchor,,,,
株式会社アーデントスタッフ,2020001024829,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,石井大輔,,,,,https://www.ardent-staff.com/,"労働者派遣事業
有料職業紹介事業",神奈川県横浜市神奈川区鶴屋町３丁目３２番地１３,1100,1996,,46,46,25,70,実シグナル,ICP:規模1100=ICP外 / ICP:設立30年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.ardent-staff.com/recruit/,○,エンジニア/営業/総合職/事務/企画,,top-anchor,,,,
株式会社日新アセットマネジメント,2020001028235,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,筒井雅洋,,,,,http://www.nissin-tw.com/,総合物流業,神奈川県横浜市中区尾上町６丁目８１番地,1523,1938,,46,46,25,70,実シグナル,ICP:規模1523=ICP外 / ICP:設立88年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.nissin-tw.com/recruit/career/index.html,○,営業/事務,,top-anchor,,,,
鈴与商事株式会社,1080001002318,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,伊藤正彦,,,,,http://www.suzuyoshoji.co.jp/,石油製品・LPG等のエネルギー販売、発電および電力の仕入・販売、エネルギーシステム機器の販売・施工・保守管理、太陽光発電,静岡県静岡市清水区入船町１１番１号,553,1990,,46,46,25,70,実シグナル,ICP:規模553=ICP外 / ICP:設立36年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.suzuyoshoji.co.jp/company/,○,,,top-anchor,,,,
株式会社サンネット,1240001012779,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,山口隆法,,,,,http://www.csunnet.co.jp/,"(1)コンピュータシステムの企画・設計・製造・メンテナンス等開発全般
(2)システム販売(営業)及びハード保守・オペレー",広島県広島市中区袋町４番２１号,340,1962,,46,46,25,70,実シグナル,ICP:規模340=ICP外 / ICP:設立64年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,http://www.csunnet.co.jp/recruit/,○,エンジニア/介護/コンサル,,top-anchor,,,,
株式会社ＮＴＴデータ中国,1240001012853,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,鈴森康弘,,,,,http://www.nttdata-chugoku.co.jp/,金融・公共・法人分野を中心に、情報通信システムの企画・構築から運用・保守までを一貫して提供し、データセンタ運用を含む幅広,広島県広島市南区比治山本町１１番２０号,358,1991,,46,46,25,70,実シグナル,ICP:規模358=ICP外 / ICP:設立35年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,http://www.nttdata-chugoku.co.jp/recruit/,○,,,top-anchor,,,,
株式会社熊平製作所,1240001018108,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,熊平明宣,,,,,https://www.kumahira.co.jp/,セキュリティシステム機器の開発・製造（入退室管理システム、デジタル録画監視システム、鍵管理システム、セキュリティゲート、,広島県広島市南区宇品東２丁目１番４２号,480,2007,,46,46,25,70,実シグナル,ICP:規模480=ICP外 / ICP:設立19年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.kumahira.co.jp/recruit/,○,販売,recruit.kumahira.co.jp,top-anchor,,,,
いすゞ自動車中国四国株式会社,1240001018413,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,橋本秀樹,,,,,http://www.isuzu-chushi.co.jp,"自動車の販売・修理・車検・点検整備
自動車の部品・用品の販売
損害保険代理店業務",広島県広島市佐伯区五日市港３丁目７番１１号,949,2007,,46,46,25,70,実シグナル,ICP:規模949=ICP外 / ICP:設立19年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://isuzu-chushi.co.jp/mid-career-recruitment/,○,エンジニア/営業/事務/販売,,top-anchor,,,,
株式会社アスコン,1240001029690,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,中原貴裕,,,,,https://www.ascon.co.jp/company/support/,,広島県福山市港町１丁目１５番２７号,452,1977,,46,46,25,70,実シグナル,ICP:規模452=ICP外 / ICP:設立49年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.ascon.co.jp/recruit/,○,マーケティング,,top-anchor,,,,
株式会社日立ソリューションズ東日本,1370001009911,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,円井高,,,,,http://www.hitachi-solutions-east.co.jp/index.html,"総合IT企業として様々な分野のソリューションを提供
（システムエンジニアリング、ソフトウェア開発等）",宮城県仙台市青葉区中央３丁目２番１号,1259,1984,,46,46,25,70,実シグナル,ICP:規模1259=ICP外 / ICP:設立42年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.hitachi-solutions-east.co.jp/recruitment/,○,営業,,top-anchor,,,,
仙台トヨペツト株式会社,1370001006652,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,佐藤秀之,,,,,https://www.p-sendai.co.jp/,自動車販売及び修理,宮城県仙台市宮城野区苦竹２丁目８番１号,489,1956,,46,46,25,70,実シグナル,ICP:規模489=ICP外 / ICP:設立70年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.p-sendai.co.jp/recruit/graduates,○,営業/総合職/販売,,top-anchor,,,,
株式会社復建技術コンサルタント,1370001010010,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,田澤光治,,,,,https://www.fgc.jp/,弊社は、昭和21年の創業以来、東北を拠点とする総合建設コンサルタントとして道路や橋梁設計・地質調査・測量に携わってきまし,宮城県仙台市青葉区錦町１丁目７番２５号,442,1949,,46,46,25,70,実シグナル,ICP:規模442=ICP外 / ICP:設立77年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.fgc.jp/recruit_top/,○,,,top-anchor,,,,
グリーン産業株式会社,2110001001769,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,荒川義克,,,,,http://www.green-s.co.jp/,建設業,新潟県新潟市中央区神道寺２丁目２番１０号,405,1971,,46,46,25,70,実シグナル,ICP:規模405=ICP外 / ICP:設立55年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.green-s.co.jp/recruit/,○,営業/事務/施工管理/介護/コンサル,job.rikunabi.com,top-anchor,,,,
株式会社電算,1100001002083,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,轟一太,,,,,https://www.ndensan.co.jp/,"情報処理・通信サービス
ソフトウェア開発・システム提供サービス
システム機器販売等
その他関連サービス",長野県長野市大字鶴賀七瀬中町２７６番地６,698,1966,,46,46,25,70,実シグナル,ICP:規模698=ICP外 / ICP:設立60年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.ndensan.co.jp/recruit/,○,エンジニア/営業/総合職/販売/マーケティング,,top-anchor,,,,
サクラ精機株式会社,1100001006191,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,東竜一郎,,,,,https://www.sakurajp.com/recruit/data/,医療機器の製造販売,長野県千曲市大字鋳物師屋７５番地の５,555,1957,,46,46,25,70,実シグナル,ICP:規模555=ICP外 / ICP:設立69年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.sakurajp.com/recruit,○,販売/マーケティング,job.mynavi.jp/ten.1049.cc,top-anchor,,,,
岐阜プラスチック工業株式会社,1200001001471,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,大松栄太,,,,,https://www.risu.co.jp/,プラスチック製品の製造・販売,岐阜県岐阜市神田町９丁目２７番地,860,1953,,46,46,25,70,実シグナル,ICP:規模860=ICP外 / ICP:設立73年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.risu.co.jp/recruit/,○,営業/事務/企画/販売/マーケティング,,top-anchor,,,,
株式会社市川工務店,1200001000374,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,小川健,,,,,https://www.ic-group.co.jp/,総合建設業,岐阜県岐阜市鹿島町６丁目２７番地,349,1950,,46,46,25,70,実シグナル,ICP:規模349=ICP外 / ICP:設立76年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.ic-group.co.jp/recruitment/,○,営業/総合職/事務/施工管理,,top-anchor,,,,
株式会社中広,2200001003384,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,大島斉,,,,,http://www.chuco.co.jp/,"総合広告業
地域情報誌発行、広告販促・企画運営",岐阜県岐阜市東興町２７番地,505,1978,,46,46,25,70,実シグナル,ICP:規模505=ICP外 / ICP:設立48年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://chuco.co.jp/recruit,○,,,top-anchor,,,,
近江鉄道株式会社,1160001008109,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,藤井高明,,,,,http://www.ohmitetudo.co.jp/,鉄道事業、自動車運送事業、観光事業、不動産事業、旅行業　他,滋賀県彦根市駅東町１５番１,920,1896,,46,46,25,70,実シグナル,ICP:規模920=ICP外 / ICP:設立130年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.ohmitetudo.co.jp/jobs/graduate/,○,営業/総合職/技術職/事務/企画,ohmitetudo-recruit.jp,top-anchor,,,,
エネサーブ株式会社,2160001003901,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,井上博司,,,,,https://www.eneserve.co.jp/,総合エネルギーサービス業,滋賀県大津市月輪２丁目１９番６号,313,1965,,46,46,25,70,実シグナル,ICP:規模313=ICP外 / ICP:設立61年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.eneserve.co.jp/company/career.html,○,営業/事務/施工管理/販売/コンサル,job.mynavi.jp,top-anchor,,,,
両備トランスポート株式会社,1250001004024,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,荒木一守,,,,,https://ryobitransport.com/,両備グループの部流部門として、両備トランスポートは長年蓄積した現場ノウハウと管理手法、ローコストオペレーションで強力にサ,岡山県岡山市中区新築港９番地の４,855,1999,,46,46,25,70,実シグナル,ICP:規模855=ICP外 / ICP:設立27年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://ryobitransport.com/recruit/,○,,ryobi.gr.jp/ryobi-saiyo.com,top-anchor,,,,
株式会社ベネッセコーポレーション（閉鎖）,1260001011820,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,岩瀬大輔,,,,,http://www.benesse.co.jp/,"ベネッセコーポレーションは、教育・家庭事業領域において、
各カンパニーが商品・サービスを提供しています。

◆教育◆",岡山県岡山市北区南方３丁目７番１７号,2935,2009,,46,46,25,70,実シグナル,ICP:規模2935=ICP外 / ICP:設立17年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.benesse.co.jp/benesseinfo/saiyou.html,○,エンジニア,,top-anchor,,,,
株式会社中島商会,2260001004880,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,中島弘晶,,,,,http://www.nakashima-shokai.co.jp/,"●塗料・化成品・塗装設備・塗装機器等の販売
●塗装設備・ラインの稼働フォロー
●塗装における仕様・色彩の提案
●塗料の調",岡山県岡山市北区柳町２丁目２番２３号,372,1950,,46,46,25,70,実シグナル,ICP:規模372=ICP外 / ICP:設立76年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.nakashima-shokai.co.jp/recruit/,○,営業/企画/施工管理,nakashima-shokai.co.jp/job.rikunabi.com,top-anchor,,,,
株式会社ウイン,1500001000617,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,村上泰久,,,,,https://www.pro-win.co.jp/profile/actionplan_nextgeneration.html,システム開発・情報処理・派遣業,愛媛県松山市二番町３丁目６番地５,345,1997,,46,46,25,70,実シグナル,ICP:規模345=ICP外 / ICP:設立29年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.pro-win.co.jp/recruit/,○,,,top-anchor,,,,
株式会社ビージョイ,2500001003387,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,宮内圭三,,,,,http://www.bejoy.jp/,食肉卸売業,愛媛県松山市枝松５丁目８番１２号,385,1961,,46,46,25,70,実シグナル,ICP:規模385=ICP外 / ICP:設立65年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.bejoy.jp/recruit/,○,営業/企画/介護/販売/マーケティング,bejoy-recruit.com,common-path,,,,
四国ガス燃料株式会社,2500001011654,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,佐薙秀樹,,,,,http://www.shikoku-gasnen.co.jp/,"（１）液化石油ガス、天然ガスの販売（卸、小売）
（２）簡易ガス事業
（３）液化石油ガス工業用プラント設計、施工
（４）ガ",愛媛県今治市中寺字樋掛２２６番地１,303,1959,,46,46,25,70,実シグナル,ICP:規模303=ICP外 / ICP:設立67年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.shikoku-gasnen.co.jp/recruit/sinsotu.html,○,総合職/販売,,top-anchor,,,,
株式会社マイスティア,2330001009286,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,工藤正也,,,,,https://www.meistier.co.jp/,"製造装置・精密機械の企画開発～製造販売
精密機械等のメンテナス・フィールドサービス
組込みIoTシステム及び周辺機器の企",熊本県合志市福原１番地３５,1750,1990,,46,46,25,70,実シグナル,ICP:規模1750=ICP外 / ICP:設立36年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.meistier.co.jp/recruit/,○,エンジニア,,top-anchor,,,,
株式会社ヒライ,2330001009088,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,平井浩一郎,,,,,https://www.hirai-wa.com/,,熊本県熊本市西区春日７丁目２６番７０号,1738,2009,,46,46,25,70,実シグナル,ICP:規模1738=ICP外 / ICP:設立17年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.hirai-wa.com/recruit/,○,,,top-anchor,,,,
ユナイテッドトヨタ熊本株式会社,3330001003271,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,西治三朗,,,,,https://www.united-toyotakumamoto.jp/,自動車販売・修理,熊本県熊本市中央区十禅寺４丁目１番１号,470,1962,,46,46,25,70,実シグナル,ICP:規模470=ICP外 / ICP:設立64年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.united-toyotakumamoto.jp/recruit/,○,エンジニア/営業/販売,job.mynavi.jp,common-path,,,,
株式会社ＳＹＳＫＥＮ,3330001003635,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,福元秀典,,,,,https://www.sysken.co.jp/,NTTインフラ構築事業、総合設備構築事業,熊本県熊本市中央区萩原町１４番４５号,696,1946,,46,46,25,70,実シグナル,ICP:規模696=ICP外 / ICP:設立80年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.sysken.co.jp/recruit/mid-career/,○,エンジニア/施工管理/介護,,top-anchor,,,,
株式会社エフコム,1380001004696,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,斎藤正弘,,,,,https://www.f-com.co.jp/,"【情報処理サービス業】
　アウトソーシング、クラウドサービス、システム開発、機器販売、機器保守、ヘルプディスク、他",福島県郡山市堤下町１３番８号,365,1980,,46,46,25,70,実シグナル,ICP:規模365=ICP外 / ICP:設立46年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.f-com.co.jp/recruit/newgraduate/,○,エンジニア/営業/企画/介護/看護,,top-anchor,,,,
常洋水産株式会社,1050001001165,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,大谷勉,,,,,http://www.joyosuisan.com,公設卸売市場内での鮮魚、冷凍魚、塩干魚及び加工品の卸売販売、瓶缶詰、一般加工食品、菓子、酒類、チルド食品、冷凍食品等の卸,茨城県水戸市青柳町４５６６番地,368,1948,,46,46,25,70,実シグナル,ICP:規模368=ICP外 / ICP:設立78年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.joyosuisan.com/%E6%8E%A1%E7%94%A8%E6%83%85%E5%A0%B1,○,,,top-anchor,,,,
原子力エンジニアリング株式会社,1050001004639,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,萩谷弘通,,,,,http://www.neco-net.co.jp/,原子力関係機器の設計、製作及び運転保守,茨城県那珂郡東海村大字村松字平原３１２９番地の２９,496,1978,,46,46,25,70,実シグナル,ICP:規模496=ICP外 / ICP:設立48年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.neco-net.co.jp/recruit/graduate/index.html,○,エンジニア/技術職,,top-anchor,,,,
株式会社スミハツ,1010001020516,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,澁谷祐司,,,,,https://www.sumihatsu.com,自動車用板ばね、産機用巻ばね、鉄道施設用品等の製造販売,茨城県桜川市高森１１５８番地,438,1934,,46,46,25,70,実シグナル,ICP:規模438=ICP外 / ICP:設立92年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.sumihatsu.com/recruit.html,○,営業/技術職,,top-anchor,,,,
株式会社潤工社,1050001007996,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,十河衛,,,,,https://www.junkosha.com/jp,フロロポリマーを用いた成型加工品の製造（主としてコンピューターに用いる特殊電線、ケーブル）,茨城県笠間市福田９６１番地２０,534,1954,,46,46,25,70,実シグナル,ICP:規模534=ICP外 / ICP:設立72年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.junkosha.com/jp/news/recruit,○,デザイナー,,top-anchor,,,,
クリタ分析センター株式会社,1050001016444,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,石丸育生,,,,,http://www.kuritabunseki.co.jp/,環境計量証明事業,茨城県つくば市高野台２丁目８番１４号,372,2003,,46,46,25,70,実シグナル,ICP:規模372=ICP外 / ICP:設立23年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.kuritabunseki.co.jp/page_id_134/,○,販売,,top-anchor,,,,
一誠商事株式会社,1050001017178,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,五十嵐徹,,,,,http://www.issei-syoji.co.jp,"●不動産の売買、仲介
●賃貸借及び管理
●損害保険代理業
●不動産コンサルティング
●マンション管理業
●不動産投資顧問",茨城県つくば市竹園２丁目２番地４,330,1979,,46,46,25,70,実シグナル,ICP:規模330=ICP外 / ICP:設立47年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.issei-syoji.co.jp/recruit,○,事務,,top-anchor,,,,
株式会社タナカ,1050001010075,45,ナーチャリング,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,田中司郎,,,,,http://www.tanakanet.co.jp,販促用印刷物の製造販売、木造住宅用接合金物の製造販売、選挙用公営ポスター掲示板の製造販売,茨城県土浦市藤沢３４９５番地１,503,1961,,46,46,25,70,実シグナル,ICP:規模503=ICP外 / ICP:設立65年 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.tanakanet.co.jp/recruit/,○,,,top-anchor,,,,
ＤＯＷＡホールディングス株式会社,1010001008750,44,後回し,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,関口明,,,,,http://www.dowa.co.jp/,環境・リサイクル事業、製錬事業、電子材料事業、金属加工事業および熱処理事業,東京都千代田区外神田４丁目１４番１号,1010,,,42,46,25,70,実シグナル,ICP:規模1010=ICP外 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://hd.dowa.co.jp/ja/recruit.html,○,,,top-anchor,,,,
株式会社ニッスイ,1010001016860,44,後回し,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,田中輝,,,,,https://www.nissui.co.jp/,世界中の水産資源へのアクセスを通じ、漁業、養殖生産、加工による「水産品」の販売、冷凍食品、缶詰、フィッシュソーセージ等の,東京都港区西新橋１丁目３番１号,1505,,,42,46,25,70,実シグナル,ICP:規模1505=ICP外 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.nissui.co.jp/recruit/index.html,○,エンジニア/営業/総合職/技術職/事務,,top-anchor,,,,
ＣＨＥＭＩＰＡＺ株式会社,1010001033609,44,後回し,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,菅正道,,,,,https://www.chemipaz.com/,製紙用化学薬品の製造販売、印刷インキ用・記録材料用樹脂の製造販売,東京都中央区日本橋本町３丁目３番６号,479,,,42,46,25,70,実シグナル,ICP:規模479=ICP外 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://www.chemipaz.com/recruit/new-graduates/,○,営業/事務/企画,,top-anchor,,,,
ＦＣＭ株式会社,1120001011859,44,後回し,C,1,○,B,媒体掲載(実取得)+gBizINFO,B,媒体掲載(実取得),2,,,,,川森晋治,,,,,http://www.fc-m.co.jp/,"・電子部品の加工、電子機器用部品ならびに半導体用部材の製造および販売
・電線用芯線ならびにその他線材の製造および販売
・",大阪府大阪市東成区神路３丁目８番３６号,346,,,42,46,25,70,実シグナル,ICP:規模346=ICP外 / INT:intent★1 / INT:新卒フラグ確定,2026-06-14,,0,,○,https://fc-m.co.jp/mid-career-recruit/,○,営業/介護,,top-anchor,,,,
