企業名,採用担当者名,代表者名,架電宛名,役職,公式URL,業種,都道府県,電話番号,上場,設立,取得元,根拠URL
株式会社ファイナンス・プロデュース,,松井克成,松井克成 様,,https://finance-produce.com/,金融・保険業,東京都,,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000003.000181331.html
ネイス株式会社,,名南友介,名南友介 様,,,教育・学習支援業,東京都,,未上場,2010,PR TIMES,https://prtimes.jp/main/html/rd/p/000000012.000175903.html
一般社団法人AgVenture Lab,,,,,https://agventurelab.or.jp/,水産・農林業,東京都,,未上場,2019,PR TIMES,https://prtimes.jp/main/html/rd/p/000000117.000062040.html
株式会社 NITI Technology,,金子友哉,金子友哉 様,,https://nititech.jp/,サービス業,東京都,,未上場,2024,PR TIMES,https://prtimes.jp/main/html/rd/p/000000013.000151759.html
株式会社ビザスク,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000510.000015233.html
株式会社KOTONA,,山崎晶久,山崎晶久 様,,https://kotona-pr.com/,サービス業,、兵庫県,06-6809-3073,未上場,2012,PR TIMES,https://prtimes.jp/main/html/rd/p/000000018.000163315.html
ELEVARE合同会社,,牧尾康生,牧尾康生 様,,https://elevare-inc.com/,情報通信,東京都,050-6862-6369,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000004.000180555.html
Spready株式会社,,佐古,佐古 様,,https://spready.co.jp/,情報通信,東京都,,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000096.000040560.html
株式会社サンクゼール,,久世,久世 様,,,,：長野県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000202.000158568.html
株式会社アートリフォーム,,,,,,,大阪府,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000146.000092375.html
西日本鉄道株式会社,,林田浩一,林田浩一 様,,http://www.nishitetsu.jp/,不動産業,：福岡県,,東証1部資本金2,1908,PR TIMES,https://prtimes.jp/main/html/rd/p/000000963.000017692.html
株式会社コロプラ,,上席執行役員,上席執行役員 様,,https://colopl.co.jp/,情報通信,東京都,03-6721-7793,東証プライム資本,2008,PR TIMES,https://prtimes.jp/main/html/rd/p/000001979.000004473.html
株式会社クレディセゾン,,,,,https://corporate.saisoncard.co.jp/,金融・保険業,東京都,03-3988-2111,東証プライム資本,1951,PR TIMES,https://prtimes.jp/main/html/rd/p/000000406.000004442.html
株式会社ヤマトバイオレッツ,,梁川,梁川 様,,,, 福岡県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000025.000090173.html
株式会社JR東日本クロスステーション,,伊藤敦子,伊藤敦子 様,,https://www.jr-cross.co.jp/,商業（卸売業、小売業）,東京都,,,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000001141.000082978.html
株式会社シュクレイ,,阪本良一,阪本良一 様,,http://www.sucrey.co.jp,商業（卸売業、小売業）,東京都,03-6455-4105,未上場,2011,PR TIMES,https://prtimes.jp/main/html/rd/p/000001619.000016051.html
株式会社フルノシステムズ,,中谷聡志,中谷聡志 様,,https://www.furunosystems.co.jp/,情報通信,東京都,03-5600-5111,未上場,1984,PR TIMES,https://prtimes.jp/main/html/rd/p/000000164.000004012.html
セイ・テクノロジーズ株式会社,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000041.000053916.html
株式会社on the bakery,,井戸,井戸 様,,https://www.onthebakery.co.jp/,サービス業,神奈川県,,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000407.000097870.html
株式会社トドケール,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000091.000045280.html
e-dash株式会社,,山崎冬馬,山崎冬馬 様,,https://e-dash.io/,情報通信,】宮崎県,,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000328.000095916.html
シルバーエッグ・テクノロジー株式会社,,岩田,岩田 様,,https://www.silveregg.co.jp/,情報通信,大阪府,06-6386-1931,未上場,1998,PR TIMES,https://prtimes.jp/main/html/rd/p/000000133.000085146.html
株式会社Grand Central,,執行役員兼,執行役員兼 様,,https://grandcentral.jp/,サービス業,東京都,052-228-4873,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000079.000093680.html
株式会社アバントグループ,,永田,永田 様,,https://www.avantgroup.com/,情報通信,東京都,03-6864-0100,東証プライム資本,1997,PR TIMES,https://prtimes.jp/main/html/rd/p/000000569.000016467.html
株式会社アイデアランプ,,宮原,宮原 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000013.000071732.html
株式会社Delight,,新井,新井 様,,https://delight21.co.jp/,情報通信,東京都,,未上場,2017,PR TIMES,https://prtimes.jp/main/html/rd/p/000000070.000061059.html
株式会社KASHIKA,,小澤,小澤 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000094.000140101.html
DigKnow株式会社,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000008.000172956.html
株式会社zooba,,名和彩音,名和彩音 様,,https://www.zooba.ai/,情報通信,東京都,,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000027.000113531.html
M-SOLUTIONS株式会社,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000024.000149029.html
株式会社IVRy,,,,,https://ivry.jp/company/,サービス業,東京都,050-3204-4610,未上場,2019,PR TIMES,https://prtimes.jp/main/html/rd/p/000000272.000056805.html
有限会社名古屋工芸,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000011.000130338.html
一般社団法人不動産検査保証機構,,稗田淳一,稗田淳一 様,,https://www.reiws.or.jp/,財団法人・社団法人・宗教法人,大阪府,06-6760-4088,未上場,2017,PR TIMES,https://prtimes.jp/main/html/rd/p/000000012.000165554.html
株式会社コミクス,,鈴木章裕,鈴木章裕 様,,https://www.comix.co.jp/,情報通信,東京都,03-5459-5394,未上場,2007,PR TIMES,https://prtimes.jp/main/html/rd/p/000000274.000002500.html
ZAZA株式会社,,永津,永津 様,,,,：愛知県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000131.000032842.html
一般社団法人日本DX地域創生応援団,,藤原洋,藤原洋 様,,https://digital-supporter.net/,情報通信,東京都,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000004.000185712.html
アイリスオーヤマ株式会社,,大山晃弘,大山晃弘 様,,http://www.irisohyama.co.jp/,製造業,：宮城県,022-221-3400,未上場,1971,PR TIMES,https://prtimes.jp/main/html/rd/p/000000903.000019955.html
GMOインターネットグループ,,森脇,森脇 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000005420.000000136.html
Ｗｏｒｌｄ　Ｍａｔｃｈａ株式会社,,,,,https://www.segafredo.jp/,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000026.000051990.html
KLab株式会社,,真田哲弥,真田哲弥 様,,http://www.klab.com/jp/,情報通信,東京都,,東証プライム資本,2000,PR TIMES,https://prtimes.jp/main/html/rd/p/000000923.000006348.html
株式会社BOTANICO,,佐藤洋平,佐藤洋平 様,,https://btnc.co.jp/,情報通信,神奈川県,045-900-6747,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000232.000110808.html
株式会社FLUX,,,,,https://flux.jp/,情報通信,東京都,03-6555-2355,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000050.000039289.html
株式会社NearMe,,髙原幸一郎,髙原幸一郎 様,,https://nearme.jp/,情報通信,東京都,,未上場,2017,PR TIMES,https://prtimes.jp/main/html/rd/p/000000238.000031733.html
株式会社セントラルメディエンス,,中川隆太郎,中川隆太郎 様,,https://centralmedience.com/,医療・福祉,東京都,03-5544-9120,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000119.000032609.html
Hmcomm株式会社,,三本幸司,三本幸司 様,,https://hmcom.co.jp,情報通信,東京都,,東証グロース資本,2012,PR TIMES,https://prtimes.jp/main/html/rd/p/000000193.000033941.html
株式会社Headline Japan,,島川敏明,島川敏明 様,,https://www.ivs.events/,サービス業,京都府,,未上場,2020,PR TIMES,https://prtimes.jp/main/html/rd/p/000000228.000059319.html
UntroD Capital Japan株式会社,,永田暁彦,永田暁彦 様,,https://www.realtech.holdings/,金融・保険業,東京都,03-6630-1000,未上場,2014,PR TIMES,https://prtimes.jp/main/html/rd/p/000000176.000036405.html
株式会社LX DESIGN,,金谷智,金谷智 様,,https://www.lxdesign.me/,教育・学習支援業,北海道,,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000050.000040755.html
株式会社WOOC,,清水裕久,清水裕久 様,,https://www.wooc.co.jp/,不動産業,東京都,03-5789-3325,未上場,2008,PR TIMES,https://prtimes.jp/main/html/rd/p/000000214.000043878.html
株式会社総合資格,,佐藤拓也,佐藤拓也 様,,https://www.shikaku.co.jp/,教育・学習支援業,東京都,03-3340-2810,未上場,1987,PR TIMES,https://prtimes.jp/main/html/rd/p/000000097.000060863.html
株式会社ProNoah,,古河祐太,古河祐太 様,,https://www.pronoah.jp/,情報通信,：福岡県,080-7567-1335,未上場,2019,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000181564.html
株式会社マネジメントソリューションズ,,高橋信也,高橋信也 様,,https://www.msols.com/,サービス業,東京都,03-5413-8808,東証プライム資本,2005,PR TIMES,https://prtimes.jp/main/html/rd/p/000000162.000052085.html
株式会社アドバンテッジ リスク マネジメント,,鳥越慎二,鳥越慎二 様,,https://www.armg.jp/,サービス業,東京都,03-5794-3830,東証スタンダード,1999,PR TIMES,https://prtimes.jp/main/html/rd/p/000000363.000024618.html
セブンセンスマーケティング株式会社,,宮田昌輝,宮田昌輝 様,,,,：静岡県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000013.000139917.html
学校法人大阪経済大学,,山澤俱和,山澤俱和 様,,https://www.osaka-ue.ac.jp/,教育・学習支援業,年兵庫県,06-6328-2431,,1932,PR TIMES,https://prtimes.jp/main/html/rd/p/000000063.000159882.html
株式会社ナブアシスト,,,,,,, 群馬県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000049.000116125.html
ビービーメディア株式会社,,佐野真一,佐野真一 様,,http://www.bbmedia.co.jp/,情報通信,東京都,03-6712-5011,未上場,1999,PR TIMES,https://prtimes.jp/main/html/rd/p/000000080.000014399.html
株式会社 MUSINSA JAPAN,,パク,パク 様,,,商業（卸売業、小売業）,東京都,03-6384-5991,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000099.000071607.html
SHOPLIST株式会社,,,,,https://shop-list.com/,情報通信,東京都,,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000020.000160607.html
合同会社8ed Studio,,大島咲希,大島咲希 様,,https://8ed-studio.com,商業（卸売業、小売業）,大阪府,,未上場,2025,PR TIMES,https://prtimes.jp/main/html/rd/p/000000008.000170505.html
株式会社サンコネクション,,永田浩信,永田浩信 様,,https://www.sunconnection.co.jp/,商業（卸売業、小売業）,東京都,03-5213-4611,未上場,2024,PR TIMES,https://prtimes.jp/main/html/rd/p/000000012.000170679.html
株式会社システムリサーチ,,平山宏,平山宏 様,,https://www.sr-net.co.jp/,情報通信,：愛知県,052-413-6820,東証プライム資本,1981,PR TIMES,https://prtimes.jp/main/html/rd/p/000000224.000144334.html
山陰中央テレビジョン放送株式会社,,田部長右衛門,田部長右衛門 様,,http://tsk-tv.com/,情報通信,都道府県,0852-20-8888,未上場,1969,PR TIMES,https://prtimes.jp/main/html/rd/p/000000140.000086416.html
一般社団法人国際ビジネス連結機構,,ら約,ら約 様,,https://kokusaibiz.org/,サービス業,東京都,03-6820-6046,未上場,2024,PR TIMES,https://prtimes.jp/main/html/rd/p/000000046.000161515.html
イーベイ・ジャパン株式会社,,,,,https://www.ebay.co.jp/,サービス業,東京都,00-0000-0000,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000164.000015238.html
アルフレッサ株式会社,伊藤 晃充,福神雄介,伊藤 晃充 様,人事部,https://www.alfresa.co.jp/,商業（卸売業、小売業）,東京都,03-3292-3331,未上場,2014,PR TIMES,https://prtimes.jp/main/html/rd/p/000000027.000149254.html
ワオ株式会社,,浦谷,浦谷 様,,https://www.wao-cart.com/,商業（卸売業、小売業）,東京都,03-5414-5085,未上場,2003,PR TIMES,https://prtimes.jp/main/html/rd/p/000000071.000047124.html
合同会社JUMP,,社員小野,社員小野 様,,,情報通信,東京都,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000004.000174321.html
日本ヘルスメイト株式会社,,白石郁宏,白石郁宏 様,,https://emuart.jp/,商業（卸売業、小売業）,：静岡県,054-254-3000,未上場,1978,PR TIMES,https://prtimes.jp/main/html/rd/p/000000015.000106046.html
一建設株式会社,,堀口忠美,堀口忠美 様,,https://www.hajime-kensetsu.co.jp/,不動産業,東京都,,未上場,1967,PR TIMES,https://prtimes.jp/main/html/rd/p/000000197.000103915.html
株式会社バイタルケーエスケー・ホールディングス,,村井泰介,村井泰介 様,,https://www.vitalksk.co.jp,商業（卸売業、小売業）,報宮城県,03-5787-8550,東証プライム資本,2009,PR TIMES,https://prtimes.jp/main/html/rd/p/000000052.000130221.html
株式会社エーピーコミュニケーションズ,,内田,内田 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000130.000002508.html
一冨士フードサービス株式会社,,大西博史,大西博史 様,,https://www.ifsco-group.com/,サービス業,大阪府,06-6458-8801,未上場,2004,PR TIMES,https://prtimes.jp/main/html/rd/p/000000032.000135388.html
公益財団法人 日本ケアフィット共育機構,,畑中稔,畑中稔 様,,https://www.carefit.org/,財団法人・社団法人・宗教法人,が山梨県,03-6261-2333,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000032.000054004.html
株式会社シーエーシー,,佐別當,佐別當 様,,https://www.cac.co.jp/,情報通信,東京都,03-6667-8000,未上場,2014,PR TIMES,https://prtimes.jp/main/html/rd/p/000000138.000024483.html
株式会社アセンド,,佐藤,佐藤 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000048.000039866.html
KDDIアイレット株式会社,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000461.000009999.html
株式会社イトーキ,,名湊宏司,名湊宏司 様,,https://www.itoki.jp/,製造業,東京都,,東証プライム資本,1950,PR TIMES,https://prtimes.jp/main/html/rd/p/000000662.000032317.html
公益財団法人国際文化会館,,近藤正晃ジェ,近藤正晃ジェ 様,,https://ihj.global/,財団法人・社団法人・宗教法人,東京都,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000085.000054811.html
インフィニア株式会社,,深沢孝樹,深沢孝樹 様,,http://www.infinia.co.jp/,サービス業,東京都,03-3526-3131,未上場,2011,PR TIMES,https://prtimes.jp/main/html/rd/p/000000164.000009289.html
株式会社 メガハウス,,コメント,コメント 様,,https://www.megahouse.co.jp/,製造業,東京都,03-3847-1721,未上場,1962,PR TIMES,https://prtimes.jp/main/html/rd/p/000000898.000005808.html
アイ・ケイ・ケイホールディングス株式会社,,金子和斗志,金子和斗志 様,,https://www.ikk-grp.jp/index.html,サービス業,：佐賀県,050-3539-1122,東証1部資本金3,1995,PR TIMES,https://prtimes.jp/main/html/rd/p/000000067.000094736.html
株式会社グリーンエナジー＆カンパニー,,鈴江,鈴江 様,,https://green-energy.co.jp/,建設業,東京都,050-1871-0651,東証グロース資本,2009,PR TIMES,https://prtimes.jp/main/html/rd/p/000000024.000071823.html
大和ハウス工業株式会社,,大友浩嗣,大友浩嗣 様,,https://www.daiwahouse.co.jp,建設業,東京都,06-6346-2111,東証プライム資本,,PR TIMES,https://prtimes.jp/main/html/rd/p/000002699.000002296.html
株式会社MUSIN,,名武暁牧,名武暁牧 様,,,商業（卸売業、小売業）,大阪府,072-449-1540,未上場,2014,PR TIMES,https://prtimes.jp/main/html/rd/p/000000214.000139013.html
三和酒類株式会社,,西和紀,西和紀 様,,https://www.sanwa-shurui.co.jp,製造業,：大分県,0978-32-1431,未上場,1958,PR TIMES,https://prtimes.jp/main/html/rd/p/000000058.000088253.html
ロリー・ジャパン株式会社,,,,,https://rorryjapan.com/,製造業,,,未上場,2026,PR TIMES,https://prtimes.jp/main/html/rd/p/000000177.000159488.html
株式会社サミーネットワークス,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000001955.000002703.html
株式会社アース・スター エンターテイメント,,幕内和博,幕内和博 様,,https://www.earthstar.co.jp/,情報通信,東京都,03-5561-7630,未上場,1939,PR TIMES,https://prtimes.jp/main/html/rd/p/000000672.000101562.html
株式会社 鶴屋吉信,,稲田慎一郎,稲田慎一郎 様,,http://www.tsuruyayoshinobu.jp/,製造業,京都府,075-441-0105,未上場,1950,PR TIMES,https://prtimes.jp/main/html/rd/p/000000166.000045479.html
株式会社ニューオータニ九州,,山本圭介,山本圭介 様,,,飲食店・宿泊業,地福岡県,092-714-1111,未上場,1985,PR TIMES,https://prtimes.jp/main/html/rd/p/000000284.000027824.html
株式会社信濃屋食品,,長井正志,長井正志 様,,https://shinanoya.co.jp/,商業（卸売業、小売業）,東京都,03-3412-2448,未上場,1951,PR TIMES,https://prtimes.jp/main/html/rd/p/000000005.000124825.html
株式会社喜多ピーアール,,喜多将造,喜多将造 様,,http://www.kita-pr.co.jp/,サービス業,東京都,03-5771-5334,未上場,2000,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000149331.html
株式会社ミスズライフ,,木内達也,木内達也 様,,https://www.misuzu-life.co.jp/,水産・農林業,：長野県,026-257-1030,未上場,1991,PR TIMES,https://prtimes.jp/main/html/rd/p/000000031.000122572.html
株式会社栗山米菓,,栗山,栗山 様,,https://www.befco.jp,製造業,：新潟県,,未上場,1949,PR TIMES,https://prtimes.jp/main/html/rd/p/000000139.000063435.html
株式会社URAKATA,,,,,https://urakata-inc.jp/,サービス業,東京都,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000009.000136498.html
ハーチ株式会社,,加藤佑,加藤佑 様,,https://harch.jp,情報通信,東京都,,未上場,2015,PR TIMES,https://prtimes.jp/main/html/rd/p/000000108.000022102.html
日本甜菜製糖株式会社,,石栗秀,石栗秀 様,,https://www.nitten.co.jp/,製造業,東京都,03-5915-4610,東証プライム資本,1919,PR TIMES,https://prtimes.jp/main/html/rd/p/000000013.000164985.html
カーボンリンク株式会社,,増山,増山 様,,https://carbonlink.co.jp/,金融・保険業,東京都,03-6822-5600,未上場,2023,PR TIMES,https://prtimes.jp/main/html/rd/p/000000023.000130721.html
浜松ホトニクス株式会社,,丸野正,丸野正 様,,https://www.hamamatsu.com/jp/ja.html,製造業,地静岡県,053-452-2141,東証プライム資本,1953,PR TIMES,https://prtimes.jp/main/html/rd/p/000000065.000081184.html
公益財団法人日本電信電話ユーザ協会,,黒田吉広,黒田吉広 様,,https://www.jtua.or.jp/,財団法人・社団法人・宗教法人,東京都,03-5820-2071,未上場,1976,PR TIMES,https://prtimes.jp/main/html/rd/p/000000023.000132190.html
株式会社帝国データバンク,,後藤健夫,後藤健夫 様,,https://www.tdb.co.jp/index.html,サービス業,北海道,03-5775-3000,未上場,1987,PR TIMES,https://prtimes.jp/main/html/rd/p/000001363.000043465.html
株式会社田村ビルズグループ,,田村伊幸,田村伊幸 様,,,, 山口県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000114.000109476.html
株式会社リーベルタッド,,市ノ澤翔,市ノ澤翔 様,,https://monolith-partners.net/,サービス業,：茨城県,0297-21-5471,未上場,2011,PR TIMES,https://prtimes.jp/main/html/rd/p/000000038.000086583.html
株式会社Splean,,,,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000009.000136810.html
株式会社日比谷花壇,,寺川,寺川 様,,https://hibiya.co.jp/,商業（卸売業、小売業）,東京都,03-5444-8700,未上場,1950,PR TIMES,https://prtimes.jp/main/html/rd/p/000000198.000075797.html
パナソニックグループ,,,,,,,大阪府,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000006732.000003442.html
ネクストレベルホールディングス株式会社,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000051.000041747.html
東日本旅客鉄道株式会社,,髙橋,髙橋 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000001417.000017557.html
株式会社さつまいもの石田農園,,石田雅彦,石田雅彦 様,,https://ishidanouen.com,水産・農林業,：千葉県,0478-79-6827,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000014.000134002.html
株式会社クラダシ,,の役職,の役職 様,,https://corp.kuradashi.jp/,商業（卸売業、小売業）,東京都,,東証グロース資本,2014,PR TIMES,https://prtimes.jp/main/html/rd/p/000000690.000014485.html
LR株式会社,,会長上村昌平,会長上村昌平 様,,,,,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000196.000122077.html
株式会社アナログPR,,松浦,松浦 様,,https://analogpr.co.jp/,情報通信,東京都,03-6824-2171,未上場,2011,PR TIMES,https://prtimes.jp/main/html/rd/p/000000181.000119466.html
シコー株式会社,,白石忠臣,白石忠臣 様,,http://www.siko.co.jp/,製造業,大阪府,06-6345-8456,未上場,1950,PR TIMES,https://prtimes.jp/main/html/rd/p/000000014.000103749.html
株式会社ファイバーゲート,,執行役員猪又,執行役員猪又 様,,https://www.fibergate.co.jp/,情報通信,東京都,03-5733-1969,東証スタンダード,2000,PR TIMES,https://prtimes.jp/main/html/rd/p/000000074.000006908.html
株式会社エージェント,,四宮浩二,四宮浩二 様,,http://agent-network.com/,サービス業,東京都,03-3780-3911,,2004,PR TIMES,https://prtimes.jp/main/html/rd/p/000000157.000030953.html
株式会社ビッグゲート,,大関将広,大関将広 様,,https://big-gate.co.jp/,情報通信,北海道,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000001.000182274.html
株式会社　ヒダカラ,,,,,,,：岐阜県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000028.000076362.html
エスイノベーション株式会社,,星野善宣,星野善宣 様,,https://sinnovation.jp,サービス業,：新潟県,025-211-4096,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000046.000078978.html
ギブクリエーション株式会社,,,,,https://givecreation.com/,サービス業,東京都,06-6684-8781,未上場,2021,PR TIMES,https://prtimes.jp/main/html/rd/p/000000014.000179660.html
ブラザー工業株式会社,,池田和史,池田和史 様,,https://global.brother/ja,製造業,地愛知県,052-824-2072,東証プライム資本,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000846.000011621.html
キャンピングカー株式会社,,,,,https://camping-car.co.jp/,サービス業,」埼玉県,03-5577-6245,未上場,2009,PR TIMES,https://prtimes.jp/main/html/rd/p/000000018.000175731.html
ラディソンホテルグループ,,岩井州王,岩井州王 様,,,飲食店・宿泊業,東京都,,未上場,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000002.000178508.html
株式会社REJECT,,甲山翔也,甲山翔也 様,,https://reject.co.jp/,サービス業,東京都,03-6824-7230,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000581.000050979.html
東京ヴェルディ株式会社,,中尾,中尾 様,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000255.000036902.html
株式会社Synspective,,新井元行,新井元行 様,,https://synspective.com/,情報通信,東京都,03-6811-1355,未上場,2018,PR TIMES,https://prtimes.jp/main/html/rd/p/000000100.000052943.html
"Smilegate, Inc., Megaport Branch",,,,,https://smilegate.com/jp/,情報通信,,,未上場,2022,PR TIMES,https://prtimes.jp/main/html/rd/p/000000196.000137745.html
株式会社ベイシア,,細貝,細貝 様,,https://www.thespa.co.jp/,商業（卸売業、小売業）,：群馬県,027-210-0001,未上場,2003,PR TIMES,https://prtimes.jp/main/html/rd/p/000000470.000069349.html
株式会社言歩木,,島田斗牛,島田斗牛 様,,,,：千葉県,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000009.000125185.html
エメラダ株式会社,,頭取小林英文,頭取小林英文 様,,https://emerada.co.jp/,情報通信,：宮城県,03-6256-8266,未上場,2016,PR TIMES,https://prtimes.jp/main/html/rd/p/000000069.000025084.html
株式会社アイアットOEC,山本 恭久,和田,山本 恭久 様,人事,https://www.iii-oec.co.jp/,情報通信,：岡山県,086-227-1133,未上場,2004,PR TIMES,https://prtimes.jp/main/html/rd/p/000000041.000085668.html
エリアリンク株式会社,,鈴木貴佳,鈴木貴佳 様,,http://www.arealink.co.jp/,不動産業,東京都,03-3526-8555,東証スタンダード,1995,PR TIMES,https://prtimes.jp/main/html/rd/p/000000168.000034173.html
株式会社甲羅,,沼澤裕,沼澤裕 様,,https://www.kora.co.jp/,飲食店・宿泊業,：愛知県,,未上場,1974,PR TIMES,https://prtimes.jp/main/html/rd/p/000000148.000126693.html
CP One Japan合同会社,,,,,https://www.rocketnow.co.jp/,情報通信,東京都,,,2024,PR TIMES,https://prtimes.jp/main/html/rd/p/000000021.000170280.html
SOWAKA PTE.LTD.,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000013.000132887.html
独立行政法人都市再生機構,,石田優,石田優 様,,,不動産業,神奈川県,,,2004,PR TIMES,https://prtimes.jp/main/html/rd/p/000000115.000013642.html
一般社団法人Ｆａｍｉｅｅ,,内山幸樹,内山幸樹 様,,https://www.famiee.com/,財団法人・社団法人・宗教法人,東京都,,未上場,2019,PR TIMES,https://prtimes.jp/main/html/rd/p/000000030.000047881.html
大網株式会社,,金坂瑞樹,金坂瑞樹 様,,http://www.oh-ami.com/index.html,商業（卸売業、小売業）,東京都,,未上場,1971,PR TIMES,https://prtimes.jp/main/html/rd/p/000003592.000025615.html
株式会社ヤプリ,,庵原,庵原 様,,https://yappli.co.jp,情報通信,東京都,03-6866-5730,東証グロース資本,2013,PR TIMES,https://prtimes.jp/main/html/rd/p/000000331.000007187.html
株式会社GRIT,,山本恭裕,山本恭裕 様,,https://gritinc.org/,情報通信,東京都,050-5372-1096,未上場,2017,PR TIMES,https://prtimes.jp/main/html/rd/p/000000042.000030202.html
株式会社マザーハウス,,,,,,,東京都,,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000000311.000016177.html
株式会社ツカダ・グローバルホールディング,,塚田正之,塚田正之 様,,https://www.tsukada-global.holdings/,サービス業,東京都,,東証スタンダード,1995,PR TIMES,https://prtimes.jp/main/html/rd/p/000001318.000004975.html
株式会社第一住建ホールディングス,,松尾武,松尾武 様,,https://www.d-group.co.jp/,不動産業,大阪府,06-6223-2001,未上場,1972,PR TIMES,https://prtimes.jp/main/html/rd/p/000000053.000090256.html
株式会社近鉄・都ホテルズ,,大矢茂伸,大矢茂伸 様,,https://www.miyakohotels.ne.jp/,サービス業,：三重県,,未上場,2004,PR TIMES,https://prtimes.jp/main/html/rd/p/000002282.000023303.html
株式会社ジーピー,,米川和秀,米川和秀 様,,http://www.gp-inc.jp/,製造業,東京都,03-6273-9245,未上場,1978,PR TIMES,https://prtimes.jp/main/html/rd/p/000000061.000051468.html
株式会社BAKERU,,小林肇,小林肇 様,,https://bakeru.co.jp/,サービス業,東京都,,未上場,2006,PR TIMES,https://prtimes.jp/main/html/rd/p/000000131.000046840.html
株式会社プレナス,,金子史朗,金子史朗 様,,https://www.plenus.co.jp/,商業（卸売業、小売業）,北海道,03-3289-8311,未上場,1960,PR TIMES,https://prtimes.jp/main/html/rd/p/000001513.000054093.html
カルビー株式会社,,江原信,江原信 様,,http://www.calbee.co.jp/,製造業,北海道,,東証1部資本金1,1949,PR TIMES,https://prtimes.jp/main/html/rd/p/000001871.000030525.html
株式会社湖池屋,,佐藤章,佐藤章 様,,http://koike-ya.com/,製造業,東京都,080-3582-2708,,,PR TIMES,https://prtimes.jp/main/html/rd/p/000001605.000003039.html
