ログインID,アカウント,アカウント納品,アカウント納品日,会社ID,法人名,LINEアカウント登録企業名,基本年間プラン,現在利用プラン,更新前プラン,アップグレードプラン①,アップグレード①開始月,アップグレードプラン②,アップグレード②開始月,Email,LINE@ID,無料開始月,有料開始月,有料終了月,利用期間,作成日,備考欄
661,有効,済み,2022/06/01,1391,生活協同組合コープぎふ,生活協同組合コープぎふ,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,coop-gifu.saiyo@tcoop.or.jp,@751ptnbi,,2026/07,2027/06,1,2022/05/31,20260313MO001
664,有効,済み,2022/07/01,704,株式会社アルページュ,株式会社アルページュ,スタンダード,スタンダード,スタンダード,,,,,recruit@arpege.co.jp,@226jggdy,,2026/07,2027/06,1,2022/06/21,20260311MO006
674,有効,済み,2022/07/15,1399,株式会社ナスカ,株式会社ナスカ,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,nzc.official.mochica.9nw8wl@nazca2000.com,@920beonu,,2026/07,2027/06,1,2022/07/12,20260319MO003
681,有効,済み,2022/08/01,1419,株式会社ソフト,株式会社ソフト,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit@soft-co.jp,@173wxyxo,,2025/08,2026/07,0,2022/07/29,20250711MO001
692,有効,済み,2022/08/17,1446,BYD JAPAN株式会社,BYD JAPAN株式会社,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,saiyo@byd.com,@560fmykb,,2025/09,2026/08,0,2022/08/10,20250611MO003
693,有効,済み,2022/08/17,1445,福岡倉庫株式会社,福岡倉庫株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,abc@fukuokasoko.com,@170euqme,,2025/09,2026/08,0,2022/08/10,20250516MO028
694,有効,済み,2022/08/19,1647,要建設株式会社,要建設株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,kanabe@kaname-kensetsu.co.jp,@579cmopn,,2026/02,2027/01,0,2022/08/19,20251023MO004
699,有効,済み,2022/09/01,1448,大和信用金庫,大和信用金庫,ミニマムプラン,ミニマムプラン,ライト,,,,,kensyu@yamato.shinkin.jp,@593ovhkq,,2025/09,2026/08,0,2022/08/29,20250611MO004
701,有効,済み,2022/09/01,1289,アコース株式会社,アコース株式会社,データ利用プラン,データ利用プラン,データ利用プラン,,,,,saiyo@acous.co.jp,@942yepij,,2026/03,2027/02,0,2022/08/30,20251117MO004
709,有効,済み,2022/09/15,1471,株式会社砂子組,株式会社砂子組,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@sunagonet.co.jp,@404kldeb,,2025/10,2026/09,0,2022/09/13,20250728MO005
710,有効,済み,2022/09/15,756,株式会社シノケングループ,株式会社シノケングループ,スタンダード,スタンダード,スタンダード,,,,,skg_saiyou@shinoken.co.jp,@953lhhha,,2025/09,2026/08,0,2022/09/13,20250725MO003
711,有効,済み,2022/09/15,1447,となみ野農業協同組合,となみ野農業協同組合,ミニマムプラン,ミニマムプラン,ライト,,,,,jinji1@ja-tonamino.or.jp,@227emqis,,2025/09,2026/08,0,2022/09/14,20250430MO001
713,有効,済み,2022/09/26,1732,社会福祉法人宮城福祉会,社会福祉法人宮城福祉会,データ利用プラン,ミニマムプラン,ライト,ミニマムプラン,2026/07,,,kikaku@miyafuku.jp,@054lvfmq,,2026/01,2026/12,0,2022/09/21,20251014MO002
714,有効,済み,2022/10/03,1507,株式会社タツミ,株式会社タツミ,ミニマムプラン,ミニマムプラン,ライト,,,,,noguchi-nobuhiro@tat.mitsuba-gr.com,@813gtyvy,,2025/11,2026/10,0,2022/09/21,20250805MO004
720,有効,済み,2022/09/26,1472,阪急阪神ビルマネジメント株式会社,阪急阪神ビルマネジメント株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo-2026@hhbm.hankyu-hanshin.co.jp,@904kpbwc,,2025/10,2026/09,0,2022/09/22,20250714MO001
726,有効,済み,2022/10/03,1483,株式会社青山財産ネットワークス,株式会社 青山財産ネットワークス,ミニマムプラン,ミニマムプラン,ライト,,,,,aznsaiyo21@azn.co.jp,@916evyxg,,2025/10,2026/09,0,2022/09/29,20250729MO001
727,有効,済み,2022/10/03,774,日東メディック株式会社,日東メディック株式会社,スタンダード,スタンダード,スタンダード,,,,,jinkai@nittomedic.co.jp,@811dugpu,,2025/10,2026/09,0,2022/09/29,20250715MO004
728,有効,済み,2022/10/03,1473,株式会社アスピカ,株式会社アスピカ,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit@aspica.co.jp,@202oruic,,2025/10,2026/09,0,2022/09/29,20250728MO006
731,有効,済み,2022/10/17,1484,コンドーテック株式会社,コンドーテック株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit7438@kondotec.co.jp,@562skuhv,,2025/10,2026/09,0,2022/10/14,20250729MO002
732,有効,済み,2022/10/17,1508,株式会社さんびる,株式会社さんびる,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@sanbg.com,@569xhpbq,,2025/11,2026/10,0,2022/10/14,20250805MO003
733,有効,済み,2022/11/01,1558,堺化学工業株式会社,堺化学工業株式会社,ミニマムプラン,ミニマムプラン,スタンダード,,,,,sci-recruit@sakai-chem.co.jp,@953dxugo,,2025/12,2026/11,0,2022/10/17,20250828MO015
734,有効,済み,2022/11/01,1579,株式会社正興電機製作所,株式会社正興電機製作所,ミニマムプラン,ミニマムプラン,ライト,,,,,madoka-yoshitake@seiko-denki.co.jp,@602igzkr,,2026/01,2026/12,0,2022/10/18,20251022MO002
736,有効,済み,2022/11/01,1515,東京シティ青果株式会社,東京シティ青果株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@tokyo.city-seika.com,@311pnoin,,2025/11,2026/10,0,2022/10/19,20250724MO002
739,有効,済み,2022/11/01,1540,株式会社ハーモニック,株式会社ハーモニック,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou2027@harmonick.co.jp,@587nnwuz,,2025/12,2026/11,0,2022/10/25,20250828MO011
740,有効,済み,2022/11/01,1514,株式会社アテナ,株式会社アテナ,ミニマムプラン,ミニマムプラン,ライト,,,,,atena-recruiting@atena.co.jp,@729lxkxu,,2025/11,2026/10,0,2022/10/25,20250808MO005
745,有効,済み,2022/11/15,1616,株式会社アクト,株式会社アクト,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo@actool.jp,@781ilnen,,2026/02,2027/01,0,2022/11/10,20251205MO001
746,有効,済み,2022/12/01,1545,株式会社五千尺,株式会社五千尺,ミニマムプラン,ミニマムプラン,ライト,,,,,jinji@gosenjaku.co.jp,@908vxqjg,,2025/12,2026/11,0,2022/11/11,20251003MO008
751,有効,済み,2022/12/01,1583,株式会社トヨタレンタリース大阪,株式会社トヨタレンタリース大阪,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,yuta.inoue@trlosaka.co.jp,@383paams,,2026/01,2026/12,0,2022/11/22,20250424MO001
753,有効,済み,2022/12/01,1544,株式会社ホンダカーズ中央佐賀,株式会社ホンダカーズ中央佐賀,ミニマムプラン,ミニマムプラン,ライト,,,,,hpnsho.psa06@honda-auto.ne.jp,@074xxduw,,2025/12,2026/11,0,2022/11/24,20251009MO009
754,有効,済み,2022/12/01,1584,長野電子工業株式会社,長野電子工業株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,info@nagano-denshi.co.jp,@099aiaec,,2026/01,2026/12,0,2022/11/24,20251009MO001
759,有効,済み,2023/12/01,1716,株式会社新日本ニーズ,株式会社新日本ニーズ,データ利用プラン,ミニマムプラン,ライト,ミニマムプラン,2026/04,,,saiyou@newneeds.co.jp,@552rvjad,,2026/01,2026/12,0,2022/11/29,20251009MO008　アップグレード：20251009MO008
767,有効,済み,2022/12/12,821,パーソルテンプスタッフ株式会社,パーソルテンプスタッフ新卒採用,スタンダード,スタンダード,スタンダード,,,,,jinji2@tempstaff.co.jp,@876zbaro,,2025/12,2026/11,0,2022/12/09,20250908MO002
768,有効,済み,2023/01/04,1687,オホーツク網走農業協同組合,ＪＡオホーツク網走,ミニマムプラン,ミニマムプラン,ライト,,,,,info@okhotskabashiri.ja-hokkaido.gr.jp,@859cbxkm,,2026/03,2027/02,0,2022/12/09,20251110MO004
770,有効,済み,2022/12/19,1543,大東株式会社,大東株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit@daitogf.co.jp,@278tgiqr,,2025/12,2026/11,0,2022/12/19,20250908MO003
771,有効,済み,2022/12/19,1546,医療法人社団藤友五幸会,医療法人社団藤友五幸会,ミニマムプラン,ミニマムプラン,ライト,,,,,takeshi-sakamoto@toyugokokai.com,@996aopga,,2025/12,2026/11,0,2022/12/19,20250409MO011
773,有効,済み,2023/01/04,1630,株式会社西鉄ホテルズ,株式会社西鉄ホテルズ,ミドルプラン,ミドルプラン,ライトプラン500,,,,,hitomi.fukuoka.pm@nnr-g.com,@678yiliu,,2026/02,2027/01,0,2022/12/22,20251024MO007
774,有効,済み,2024/01/04,1590,株式会社NBSロジソル,株式会社NBSロジソル,ミニマムプラン,ミニマムプラン,ライト,,,,,nbs-saiyo@nbsnet.co.jp,@210liktx,,2026/01,2026/12,0,2022/12/22,紙申込　20251226MO009
777,有効,済み,2023/01/04,1629,穴吹エンタープライズ株式会社,穴吹エンタープライズ株式会社,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,saiyou@anabuki-enter.co.jp,@622dhreu,,2026/02,2027/01,0,2022/12/26,20251111MO001
778,有効,済み,2023/01/04,1631,株式会社ユニティー,株式会社ユニティー,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@unity-grp.co.jp,@710kzgzr,,2026/02,2027/01,0,2022/12/26,20251208MO001
780,有効,済み,2023/01/04,1591,株式会社水明館,株式会社水明館,ミニマムプラン,ミニマムプラン,ライト,,,,,s-info@suimeikan.co.jp,@534halhm,,2026/01,2026/12,0,2022/12/26,20250930MO001
786,有効,済み,2023/01/04,1586,トーステ株式会社,トーステ株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,yasuhiro.miyoshi@toste.co.jp,@671prmlg,,2026/01,2026/12,0,2022/12/27,20250904MO001
787,有効,済み,2023/01/04,1628,株式会社MIS,株式会社MIS,ミニマムプラン,ミニマムプラン,ライト,,,,,MIS-Info@mis-net.co.jp,@090iqyny,,2026/02,2027/01,0,2022/12/27,20251105MO002
791,有効,済み,2023/01/04,1585,石川サンケン株式会社,石川サンケン株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,issaiyou@ms2.sanken-ele.co.jp,@718halkr,,2026/01,2026/12,0,2022/12/28,20251009MO005
792,有効,済み,2023/01/16,1589,米屋株式会社,米屋株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,jinjika@nagomi-yoneya.co.jp,@728owqyf,,2026/01,2026/12,0,2023/01/06,20250827MO003
794,有効,済み,2023/01/16,1603,株式会社ホンダ四輪販売中京,ホンダカーズ尾張,データ利用プラン,データ利用プラン,ライト,,,,,j-fukuura.pme06@honda-auto.ne.jp,@327mddlk,,2026/01,2026/12,0,2023/01/06,20260226MO001
797,有効,済み,2023/02/01,1638,株式会社１＆Ｄ,株式会社１＆Ｄ,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou_1DS@1andd.co.jp,@282xnwct,,2026/02,2027/01,0,2023/01/19,20251226MO006
799,有効,済み,2023/02/01,1632,アイ・イー・シー株式会社,アイ・イー・シー株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,jinji@iecha.com,@473wpfsp,,2026/02,2027/01,0,2023/01/23,20251117MO002
800,有効,済み,2023/02/01,1689,株式会社資さん,株式会社資さん,ミニマムプラン,ミニマムプラン,ライト,,,,,worker1194@sukesan.co.jp,@297esizf,,2026/03,2027/02,0,2023/01/24,20251106MO004
802,有効,済み,2023/02/01,1688,サントリービバレッジソリューション株式会社,サントリービバレッジソリューション株式会社,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,info.jinji@sbs.suntory.co.jp,@964xlubi,,2026/03,2027/02,0,2023/01/26,20251209MO003
803,有効,済み,2023/02/01,1724,三國製薬工業株式会社,三國製薬工業株式会社,データ利用プラン,ミニマムプラン,ライト,ミニマムプラン,2026/06,,,saiyo@mikuni-seiyaku.co.jp,@533lpeaq,,2026/02,2027/01,0,2023/01/26,20251120MO001　アップグレード：20260508MO001
805,有効,済み,2023/02/01,1636,株式会社ムジコ・クリエイト,株式会社ムジコ・クリエイト,ミニマムプラン,ミニマムプラン,ライト,,,,,manabu.sasaki@mujicocreate.co.jp,@907yrjnj,,2026/02,2027/01,0,2023/01/26,20251118MO006
806,有効,済み,2023/02/01,1642,桃栄金属工業株式会社,桃栄金属工業株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,jinjibu-saiyo@toei-metal.com,@971pvpjt,,2026/02,2027/01,0,2023/01/26,20251023MO008
807,有効,済み,2023/02/01,1690,川崎鶴見臨港バス株式会社,川崎鶴見臨港バス株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,rinko-saiyo@rinkobus.co.jp,@710bvflw,,2026/03,2027/02,0,2023/01/26,20251212MO001
808,有効,済み,2023/02/01,1639,株式会社ＩＳＤ,株式会社ISD,ミニマムプラン,ミニマムプラン,ライト,,,,,info@isd.cnt.co.jp,@640sbrkh,,2026/02,2027/01,0,2023/01/26,20251104MO002
809,有効,済み,2023/02/01,1637,株式会社大谷山荘,株式会社大谷山荘,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo@otanisanso.co.jp,@251bnxey,,2026/02,2027/01,0,2023/01/27,20251024MO003
810,有効,済み,2023/02/01,1634,三光合成株式会社,三光合成株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,t.wada@sankogosei.co.jp,@491cihyd,,2026/02,2027/01,0,2023/01/27,20251105MO001
811,有効,済み,2023/02/01,872,株式会社ホテルニューアワジ,株式会社ホテルニューアワジ,スタンダード,スタンダード,スタンダード,,,,,jinji@newawaji-hotels.com,@856xwtly,,2026/02,2027/01,0,2023/01/27,20251209MO004
812,有効,済み,2023/02/01,1644,株式会社メイコン,株式会社メイコン,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@meikon.co.jp,@823ayndz,,2026/02,2027/01,0,2023/01/27,20251023MO006
814,有効,済み,2023/02/01,1660,社会福祉法人上伊那福祉協会,社会福祉法人上伊那福祉協会,データ利用プラン,データ利用プラン,ライト,,,,,saiyou@kamifuku.or.jp,@053xsomp,,2026/02,2027/01,0,2023/01/27,20251225MO001
815,有効,済み,2023/02/01,1640,株式会社ベン,株式会社ベン,ミニマムプラン,ミニマムプラン,ライト,,,,,syomu@venn4u.com,@461qnigj,,2026/02,2027/01,0,2023/01/27,20251104MO001
816,有効,済み,2023/02/01,877,空港ターミナルサービス株式会社,空港ターミナルサービス株式会社,スタンダード,スタンダード,ライト,,,,,recruit@ats-nt.co.jp,@999zcvez,,2026/02,2027/01,0,2023/01/30,20251121MO002
817,有効,済み,2023/02/01,1645,サツマ酸素工業株式会社,サツマ酸素工業株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo-so2@satsumao2.co.jp,@211rfwvv,,2026/02,2027/01,0,2023/01/30,20251027MO010
820,有効,済み,2023/02/01,881,株式会社Ｆ＆Ｃホールディングス,株式会社Ｆ＆Ｃホールディングス,スタンダード,スタンダード,スタンダード,,,,,rina_mitsubayashi@fujimaki.co.jp,@669dbbsu,,2026/02,2027/01,0,2023/01/30,20251022MO001
823,有効,済み,2023/02/01,1635,株式会社コスモネット,株式会社コスモネット,ミニマムプラン,ミニマムプラン,ライト,,,,,cnc_saiyo@cosmonet.ne.jp,@615rehbs,,2026/02,2027/01,0,2023/01/30,20251024MO002
825,有効,済み,2023/02/15,1646,常磐システムエンジニアリング株式会社,常磐システムエンジニアリング株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit_graduate@tokiwa-sys.co.jp,@670amrcx,,2026/02,2027/01,0,2023/01/31,20251023MO005
829,有効,済み,2023/03/01,1326,株式会社白洋舎,株式会社白洋舍,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,saiyo@hakuyosha.co.jp,@808fheki,,2026/04,2027/03,0,2023/02/08,20260114MO002
831,有効,済み,2023/02/15,1641,株式会社ファミリー,株式会社ファミリー,ミニマムプラン,ミニマムプラン,ライト,,,,,fcs-saiyou@familycar.jp,@667dvfvm,,2026/02,2027/01,0,2023/02/13,20251027MO011
832,有効,済み,2023/02/15,1643,株式会社ミタス,株式会社ミタス,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit@mitas-inc.co.jp,@481bclla,,2026/02,2027/01,0,2023/02/13,20251023MO007
833,有効,済み,2023/03/01,1691,株式会社ソフィア,株式会社ソフィア,ミニマムプラン,ミニマムプラン,ライト,,,,,S.jinji@sophia-inc.co.jp,@994nrymn,,2026/03,2027/02,0,2023/02/14,20251110MO003
835,有効,済み,2023/02/15,1648,神興建設株式会社,神興建設株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,s-suzuki@shinkou-kensetu.co.jp,@083vnggp,,2026/02,2027/01,0,2023/02/15,20251027MO004
841,有効,済み,2023/03/01,1649,愛媛県信用農業協同組合連合会,愛媛県信用農業協同組合連合会,ミニマムプラン,ミニマムプラン,ライト,,,,,shinren-jinji@jabank-ehime.or.jp,@046rvajo,,2026/02,2027/01,0,2023/02/20,20251113MO006
848,有効,済み,2023/02/27,1694,人の森株式会社,人の森株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@hitonomoricorp.jp,@608lvsor,,2026/03,2027/02,0,2023/02/27,20251205MO005
849,有効,済み,2023/03/01,1329,中電プラント株式会社,中電プラント株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,e92155@cpc.gr.energia.co.jp,@763wqydf,,2026/04,2027/03,0,2023/02/28,20260206MO004
850,有効,済み,2023/03/01,1693,株式会社セレモニア,株式会社セレモニア,ミニマムプラン,ミニマムプラン,ライト,,,,,shinsotsu.saiyou@ceremonia.co.jp,@549mnmro,,2026/03,2027/02,0,2023/02/28,20251107MO001
854,有効,済み,2023/03/01,1695,ネッツトヨタ高松株式会社,ネッツトヨタ高松株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,nishimura803171@netz-takamatsu.jp,@128oksgp,,2026/03,2027/02,0,2023/02/28,20251110MO002
858,有効,済み,2023/04/01,1696,協立電子株式会社,協立電子株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,kec_recruit@kec-x.co.jp,@797xqgbz,,2026/03,2027/02,0,2023/03/15,20251128MO003
859,有効,済み,2023/03/15,1692,信州ハム株式会社,信州ハム株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo@shinshuham.co.jp,@714nubrr,,2026/03,2027/02,0,2023/03/15,20260106MO002
860,有効,済み,2023/04/01,1324,一般財団法人電気安全環境研究所,一般財団法人電気安全環境研究所,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,soumu@jet.or.jp,@266sycck,,2026/04,2027/03,0,2023/03/15,20251203MO006
862,有効,済み,2023/04/01,1358,群馬セキスイハイム株式会社,群馬セキスイハイム株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,office8_gs@sekisui.com,@135mrjxm,,2026/05,2027/04,0,2023/03/23,20260130MO008
866,有効,済み,2023/04/01,1331,中日本ハイウェイ・メンテナンス北陸株式会社,中日本ハイウェイ・メンテナンス北陸株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,jun.kusunoki@c-nexco-hmh.jp,@425fvbdb,,2026/04,2027/03,0,2023/03/29,20260206MO005
867,有効,済み,2023/04/01,1325,中部フーズ株式会社,中部フーズ株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,k_maruyama@chubufoods.co.jp,@666nbpkp,,2026/04,2027/03,0,2023/03/30,20260120MO003
871,有効,済み,2021/11/01,1538,株式会社かいげつ,株式会社かいげつ,ミドルプラン,ミドルプラン,スタンダード,,,,,yumoto.kaigetsu@gmail.com,@483bjrvf,,2025/12,2026/11,0,2023/04/27,20250828MO019
875,有効,済み,2023/05/01,1359,南国殖産株式会社,南国殖産株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,nangokushokusan.jinji@nangoku-group.com,@166zkbli,,2026/05,2027/04,0,2023/04/27,20260202MO001
877,有効,済み,2023/05/24,1362,株式会社キャナリィ・ロウ, 株式会社キャナリイ・ロウ,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,tezuka@canneryrow.co.jp,@331vkzap,,2026/05,2027/04,0,2023/05/22,20260202MO002
878,有効,済み,2023/05/25,1377,株式会社島屋ホールディングス,株式会社島屋,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,saiyo@shimayag.com,@138vvwpp,,2026/06,2027/05,0,2023/05/22,20260219MO004
880,有効,済み,2023/06/01,1518,バンネットワーク株式会社,バンネットワーク株式会社　採用アカウント,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit@van-nw.jp,@130menqr,,2025/11,2026/10,0,2023/05/23,20250730MO003
887,有効,済み,2023/06/20,1398,鈴与レンタカー株式会社,鈴与レンタカー株式会社,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,,yuri-masuda@suzuyo-rentacar.jp,@478uqqkb,,2026/07,2027/06,1,2023/06/19,20260311MO007
888,有効,済み,2023/07/01,1396,山口産業株式会社,山口産業株式会社,データ利用プラン,データ利用プラン,データ利用プラン,,,,,yamasan.jinji@gmail.com,@930wvysy,,2026/07,2027/06,1,2023/06/28,20260311MO008
895,有効,済み,2023/08/01,1421,かがつう株式会社,かがつう株式会社,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,t-hirose@kagainc.co.jp,@107inmdx,,2025/08,2026/07,0,2023/07/20,20250501MO008
896,有効,済み,2023/08/01,1427,株式会社ナカキン,株式会社ナカキン,ミニマムプラン,ミニマムプラン,ライト,,,,,toshiharu.yabe@nakakin.co.jp,@649jkdqq,,2025/08,2026/07,0,2023/07/20,20250115MO007
897,有効,済み,2023/08/01,1423,株式会社ニデック, 株式会社ニデック,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,jinji@nidek.co.jp,@360qdoyl,,2025/08,2026/07,0,2023/07/24,20250423MO005
900,有効,済み,2023/08/01,1426,住電装プラテック株式会社,住電装プラテック株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,junichi-ootake@sws.com,@168owyqb,,2025/08,2026/07,0,2023/07/26,20250514MO006
902,有効,済み,2023/08/01,1425,名阪急配株式会社,名阪急配株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo@meihankyuhai.co.jp,@879dmbej,,2025/08,2026/07,0,2023/07/26,20250501MO009
904,有効,済み,2023/08/01,1422,リケンＮＰＲ株式会社,リケンNPR株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,ri-miakmi@npr-riken.co.jp,@079mqbrx,,2025/08,2026/07,0,2023/07/28,20250514MO004
906,有効,済み,2023/08/17,1424,株式会社大窪鐵工所,株式会社大窪鐵工所,ミニマムプラン,ミニマムプラン,ライト,,,,,soumu@okubotk.co.jp,@653rlatg,,2025/08,2026/07,0,2023/08/04,20250423MO002
910,有効,済み,2023/08/28,1451,株式会社JR西日本ヴィアイン, 株式会社ＪＲ西日本ヴィアイン,ミニマムプラン,ミニマムプラン,ライト,,,,,via-saiyou@dailyservice.co.jp,@914zqnew,,2025/09,2026/08,0,2023/08/18,20250807MO001
912,有効,済み,2023/09/13,1478,山梨スズキ販売株式会社,山梨スズキ販売株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,soumu@yamanashi-s.sdr.suzuki,@681gocuj,,2025/10,2026/09,0,2023/08/28,20250520MO002
913,有効,済み,2023/09/01,1609,株式会社イーエムシステムズ,株式会社EMシステムズ,ミニマムプラン,ミドルプラン,ライトプラン700,ミドルプラン,2026/02,,,recruit@emsystems.co.jp,@022dhggt,,2025/09,2026/08,0,2023/08/28,"20250630MO002,プランアップ：20260106MO001"
916,有効,済み,2023/09/01,1452,株式会社西野物産,株式会社西野物産,ミニマムプラン,ミニマムプラン,ライト,,,,,syo.kai@nishino-bussan.com,@274mgost,,2025/09,2026/08,0,2023/08/29,20250514MO002
917,有効,済み,2023/09/01,1453,株式会社ユーコム(富山本社),株式会社ユーコム,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit-toyama@ucm.co.jp,@593cbgue,,2025/09,2026/08,0,2023/08/29,20250611MO001
919,有効,済み,2023/09/01,1477,株式会社システムソフト,株式会社システムソフト,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyo@systemsoft.co.jp,@600kjets,,2025/10,2026/09,0,2023/09/07,20250512MO002
920,有効,済み,2023/10/01,1479,株式会社浜田,株式会社浜田,ミニマムプラン,ミニマムプラン,ライト,,,,,recruitment@kkhamada.co.jp,@919frqjq,,2025/10,2026/09,0,2023/09/19,20250514MO008
921,有効,済み,2023/10/01,1485,株式会社ワールドツール,株式会社ワールドツール,ミニマムプラン,ミニマムプラン,ライト,,,,,recruit@astro-p.co.jp,@343zbkuo,,2025/10,2026/09,0,2023/09/20,20250729MO003
922,有効,済み,2023/10/01,1481,株式会社近藤組,株式会社近藤組,ミニマムプラン,ミニマムプラン,ライト,,,,,saiyou@kondo.co.jp,@711faoqe,,2025/10,2026/09,0,2023/09/20,20250404MO002
923,有効,済み,2023/10/01,1600,株式会社三慶物産,株式会社三慶物産,ミニマムプラン,ミニマムプラン,ライト,,,,,jinji@psj777.co.jp,@366bbqna,,2026/01,2026/12,0,2023/09/25,20251007MO007
925,有効,済み,2023/10/01,1480,株式会社ジェイテクトエレクトロニクス,株式会社ジェイテクトエレクトロニクス,ミニマムプラン,ミニマムプラン,ライト,,,,,jinji@electronics.jtekt.co.jp,@130jozar,,2025/10,2026/09,0,2023/09/25,20250728MO001
926,有効,済み,2023/10/01,1520,群馬トヨペット株式会社,群馬トヨペット株式会社,ミニマムプラン,ミニマムプラン,ライト,,,,,y-ohata@g-toyopet.co.jp,@678ndkel,,2025/11,2026/10,0,2023/09/25,20250724MO001
927,有効,済み,2023/10/01,1482,社会福祉法人長岡福祉協会,社会福祉法人長岡福祉協会,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,recruit@nagaokafk.com,@664xibkr,,2025/10,2026/09,0,2023/09/26,20251031MO002
932,有効,済み,2023/10/01,1038,株式会社ラネット,株式会社ラネット,スタンダード,スタンダード,スタンダード,,,,,ranet-saiyo@ranet.bz,@104hinge,,2025/10,2026/09,0,2023/09/29,20250728MO009
939,有効,済み,2023/11/01,1047,新晃工業株式会社,新晃工業株式会社,スタンダード,スタンダード,スタンダード,,,,,sk-jinji@sinko.co.jp,@393qkcnp,,2025/12,2026/11,0,2023/10/25,20250730MO001
941,有効,済み,2023/11/01,1557,株式会社アールピーエム,株式会社アールピーエム,ミニマムプラン,ミニマムプラン,ライトプラン700,,,,,r-funamoto@rpmedical.co.jp,@020enzmm,,2025/12,2026/11,0,2023/10/26,20250709MO001
943,有効,済み,2023/11/15,1519,株式会社日本エイジェント, 株式会社日本エイジェント,ミニマムプラン,ミニマムプラン,ライト,,,,,mami21028@nihon-agent.co.jp,@049vytok,,2025/11,2026/10,0,2023/10/30,20240731MO002
944,有効,済み,2023/11/01,1521,埼玉日産自動車株式会社,埼玉日産自動車,ミニマムプラン,ミニマムプラン,ライトプラン500,,,,,saiyojoho@saitama-nissan.co.jp,@345xsbng,,2025/11,2026/10,0,2023/10/30,20250731MO003
948,有効,済み,2023/12/01,1547,株式会社TERADA,株式会社ＴＥＲＡＤＡ,データ利用プラン,データ利用プラン,ライト,,,,,recruit@terada-ele.co.jp,@102pzmam,,2025/12,2026/11,0,2023/11/29,20251002MO001
