法人名,業種,業種マクロ,従業員数レンジ,従業員数バンド,年間新卒採用数,採用数バンド,都道府県,地域ブロック,電話,上場,設立年,社齢,補助金採択,基本プラン,現在プラン,更新前プラン,プラン変更,アップグレード,無料トライアル経由,有料開始月,次回更新月,テナー月数,獲得コホート年,獲得チャネル,SFリード状況,メールドメイン,ドメイン種別,メール担当種別,LINE名不一致,SF突合,gBiz突合
株式会社スズキ自販群馬,商社,商社・卸,100～300人未満,07:100-300,6～10名,3:6-10,群馬県,関東,027-362-2345,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2022,,05：コンバート,j-gunma.sdr.suzuki,独自ドメイン,採用専用,,○,
株式会社日本テクノス,,,,,不明,,東京都,関東,042-632-4311,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2026/02,2027/01,11,2022,,99：アーカイブ,n-tks.com,独自ドメイン,採用専用,あり,○,
一般財団法人日本自動車研究所,,,300～500人未満,08:300-500,6～10名,3:6-10,茨城県,関東,029-856-1118,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2022,,05：コンバート,jari.or.jp,独自ドメイン,採用専用,,○,
上伊那農業協同組合,公共インフラ・エネルギー・環境,公共インフラ・エネルギー,500～1千人未満,09:500-1000,不明,,長野県,中部・北陸,0265-72-6110,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2022,,99：アーカイブ,ina.nn-ja.or.jp,独自ドメイン,個人名/その他,,○,
社会福祉法人明石恵泉福祉会,介護・保育・医療法人等,医療・介護・福祉,100～300人未満,07:100-300,,,兵庫県,近畿,078-936-8003,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2022,,05：コンバート,akashi-keisen.com,独自ドメイン,個人名/その他,,○,
株式会社ジーエスエレテック,,,,,6～10名,3:6-10,愛知県,中部・北陸,0565-78-2800,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2022,,99：アーカイブ,jp-gse.com,独自ドメイン,個人名/その他,,○,
株式会社ランドロームジャパン,流通・小売・物販,流通・小売,300～500人未満,08:300-500,,,千葉県,関東,047-449-5555,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2022,,05：コンバート,landrome.co.jp,独自ドメイン,個人名/その他,,○,
株式会社よどや,,,,,,,徳島県,中国・四国,088-882-0456,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2022,,05：コンバート,welcia-yakkyoku.co.jp,独自ドメイン,個人名/その他,,○,
東亜石油株式会社,,,,,不明,,神奈川県,関東,044-276-3455,,,,,ミドルプラン,ミドルプラン,スタンダード,あり,,,2026/03,2027/02,11,2022,,99：アーカイブ,toaoil.co.jp,独自ドメイン,採用専用,,○,
株式会社Ｏｎｅ　Ｔｅｒｒａｃｅ,,,,,,,東京都,関東,03-6555-4967,,,,,スタンダード,スタンダード,スタンダード,,,,2026/03,2027/02,11,2022,,99：アーカイブ,m-career.com,独自ドメイン,個人名/その他,あり,○,
株式会社アズコムデータセキュリティ,各種ビジネスサービス・BPO,人材・専門・公共サービス,30～50人未満,05:30-50,6～10名,3:6-10,埼玉県,関東,0494-63-1313,,,,,ミドルプラン,ミドルプラン,ミドルプラン,,,,2026/04,2027/03,11,2022,マイナビ掲載リスト,99：アーカイブ,momotaro.co.jp,独自ドメイン,人事・総務,,○,
株式会社テスト2203,,,,,,,,,,,,,,スタンダード,スタンダード,,,,,,,,2022,,,mochica.jp,独自ドメイン,個人名/その他,,,
ＪＸ金属株式会社,メーカー （機械・電気・電子）,製造・メーカー,1千～2千人未満,10:1000-2000,,,東京都,関東,03-6257-6261,上場,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2022,,05：コンバート,nmm.jx-group.co.jp,独自ドメイン,採用専用,,○,
株式会社パーク・コーポレーション,その他サービス（個人向け）,その他,300～500人未満,08:300-500,,,東京都,関東,03-3797-0700,,,,,スタンダード,スタンダード,スタンダード,,,,2026/06,2027/05,11,2022,,05：コンバート,park-corp.jp,独自ドメイン,採用専用,,○,
株式会社福島放送,放送,公共インフラ・エネルギー,,,1～2名,1:1-2,福島県,北海道・東北,024-933-1111,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/06,2027/05,11,2022,マイナビ掲載リスト,05：コンバート,kfb.co.jp,独自ドメイン,採用専用,,○,
生活協同組合コープぎふ,,,,,,,岐阜県,中部・北陸,058-370-6864,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/07,2027/06,11,2022,,05：コンバート,tcoop.or.jp,独自ドメイン,採用専用,,○,
株式会社アルページュ,,,,,31～35名,7:31-50,東京都,関東,03-5772-6003,,,,,スタンダード,スタンダード,スタンダード,,,,2026/07,2027/06,11,2022,,05：コンバート,arpege.co.jp,独自ドメイン,採用専用,,○,
株式会社ナスカ,メーカー （機械・電気・電子）,製造・メーカー,50～100人未満,06:50-100,,,愛知県,中部・北陸,052-698-4577,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/07,2027/06,11,2022,,05：コンバート,nazca2000.com,独自ドメイン,個人名/その他,,○,
株式会社ソフト,ソフトウエア・情報処理,IT・ソフトウェア,50～100人未満,06:50-100,6～10名,3:6-10,石川県,中部・北陸,076-443-0505,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/08,2026/07,11,2022,,05：コンバート,soft-co.jp,独自ドメイン,採用専用,,○,
BYD JAPAN株式会社,,,,,,,,,,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2025/09,2026/08,11,2022,,,byd.com,独自ドメイン,採用専用,,,
福岡倉庫株式会社,運輸・交通・物流・倉庫,運輸・物流,100～300人未満,07:100-300,,,福岡県,九州・沖縄,092-611-6151,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2022,,05：コンバート,fukuokasoko.com,独自ドメイン,個人名/その他,,○,
要建設株式会社,不動産・建設・設備,建設・不動産,50～100人未満,06:50-100,3～5名,2:3-5,京都府,近畿,075-463-5161,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2022,,05：コンバート,kaname-kensetsu.co.jp,独自ドメイン,個人名/その他,,○,
大和信用金庫,金融・保険,金融・保険,300～500人未満,08:300-500,21～25名,6:21-30,奈良県,近畿,0744-42-9084,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2022,,05：コンバート,yamato.shinkin.jp,独自ドメイン,個人名/その他,,○,
アコース株式会社,メーカー （機械・電気・電子）,製造・メーカー,100～300人未満,07:100-300,,,滋賀県,近畿,0749-55-0711,,,,,データ利用プラン,データ利用プラン,データ利用プラン,,,,2026/03,2027/02,11,2022,,05：コンバート,acous.co.jp,独自ドメイン,採用専用,,○,
株式会社砂子組,不動産・建設・設備,建設・不動産,100～300人未満,07:100-300,,,北海道,北海道・東北,011-232-8231,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2022,,05：コンバート,sunagonet.co.jp,独自ドメイン,採用専用,,○,
株式会社シノケングループ,,,,,,,東京都,関東,03-5777-0089,,,,,スタンダード,スタンダード,スタンダード,,,,2025/09,2026/08,11,2022,,05：コンバート,shinoken.co.jp,独自ドメイン,採用専用,,○,
となみ野農業協同組合,公共インフラ・エネルギー・環境,公共インフラ・エネルギー,100～300人未満,07:100-300,,,富山県,中部・北陸,0763-32-8600,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/09,2026/08,11,2022,,05：コンバート,ja-tonamino.or.jp,独自ドメイン,人事・総務,,○,
社会福祉法人宮城福祉会,介護・保育・医療法人等,医療・介護・福祉,500～1千人未満,09:500-1000,6～10名,3:6-10,宮城県,北海道・東北,022-382-3535,,,,,データ利用プラン,ミニマムプラン,ライト,あり,あり,,2026/01,2026/12,11,2022,,99：アーカイブ,miyafuku.jp,独自ドメイン,個人名/その他,,○,
株式会社タツミ,,,,,3～5名,2:3-5,栃木県,関東,0284-71-3131,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2022,,05：コンバート,tat.mitsuba-gr.com,独自ドメイン,個人名/その他,,○,
阪急阪神ビルマネジメント株式会社,不動産・建設・設備,建設・不動産,1千～2千人未満,10:1000-2000,6～10名,3:6-10,大阪府,近畿,06-6372-7902,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2022,,05：コンバート,hhbm.hankyu-hanshin.co.jp,独自ドメイン,採用専用,,○,
株式会社青山財産ネットワークス,専門コンサルティング,人材・専門・公共サービス,,,6～10名,3:6-10,東京都,関東,03-6439-5800,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2022,マイナビ掲載リスト,99：アーカイブ,azn.co.jp,独自ドメイン,採用専用,,○,
日東メディック株式会社,薬品,その他,,,3～5名,2:3-5,東京都,関東,03-3523-0347,,,,,スタンダード,スタンダード,スタンダード,,,,2025/10,2026/09,11,2022,マイナビ掲載リスト,99：アーカイブ,nittomedic.co.jp,独自ドメイン,個人名/その他,,○,
株式会社アスピカ,その他サービス（個人向け）,その他,300～500人未満,08:300-500,,,福井県,中部・北陸,0776-25-8900,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2022,,05：コンバート,aspica.co.jp,独自ドメイン,採用専用,,○,
コンドーテック株式会社,商社（建材）,商社・卸,500～1千人未満,09:500-1000,11～15名,4:11-15,東京都,関東,03-3649-4144,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/10,2026/09,11,2022,マイナビ掲載リスト,99：アーカイブ,kondotec.co.jp,独自ドメイン,採用専用,,○,
株式会社さんびる,不動産・建設・設備,建設・不動産,1千～2千人未満,10:1000-2000,,,島根県,中国・四国,0852-26-0335,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2022,,05：コンバート,sanbg.com,独自ドメイン,採用専用,,○,
堺化学工業株式会社,,,,,6～10名,3:6-10,大阪府,近畿,0722234112,上場,,,,ミニマムプラン,ミニマムプラン,スタンダード,あり,,,2025/12,2026/11,11,2022,,05：コンバート,sakai-chem.co.jp,独自ドメイン,採用専用,,○,
株式会社正興電機製作所,,,,,不明,,福岡県,九州・沖縄,092-943-7181,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2022,,99：アーカイブ,seiko-denki.co.jp,独自ドメイン,個人名/その他,,○,
東京シティ青果株式会社,商社,商社・卸,100～300人未満,07:100-300,,,東京都,関東,03-6633-9100,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2022,,05：コンバート,tokyo.city-seika.com,独自ドメイン,採用専用,,○,
株式会社ハーモニック,流通・小売・物販,流通・小売,500～1千人未満,09:500-1000,16～20名,5:16-20,新潟県,中部・北陸,0256-38-0008,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/12,2026/11,11,2022,,05：コンバート,harmonick.co.jp,独自ドメイン,採用専用,,○,
株式会社アテナ,各種ビジネスサービス・BPO,人材・専門・公共サービス,,,16～20名,5:16-20,東京都,関東,03-3689-3615,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/11,2026/10,11,2022,マイナビ掲載リスト,99：アーカイブ,atena.co.jp,独自ドメイン,採用専用,,○,
株式会社アクト,ソフトウエア・情報処理,IT・ソフトウェア,30～50人未満,05:30-50,不明,,東京都,関東,03-3452-1889,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2022,,99：アーカイブ,actool.jp,独自ドメイン,採用専用,,○,
株式会社五千尺,レジャー・アミューズメントサービス,外食・サービス・レジャー,50～100人未満,06:50-100,,,長野県,中部・北陸,0263-25-5500,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/12,2026/11,11,2022,,05：コンバート,gosenjaku.co.jp,独自ドメイン,人事・総務,,○,
株式会社トヨタレンタリース大阪,リース・レンタル,金融・保険,,,11～15名,4:11-15,,,0120-06-6050,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2026/01,2026/12,11,2022,マイナビ掲載リスト,99：アーカイブ,trlosaka.co.jp,独自ドメイン,個人名/その他,,○,
株式会社ホンダカーズ中央佐賀,商社,商社・卸,100～300人未満,07:100-300,3～5名,2:3-5,佐賀県,九州・沖縄,0952-20-1718,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/12,2026/11,11,2022,,99：アーカイブ,honda-auto.ne.jp,独自ドメイン,個人名/その他,,○,
長野電子工業株式会社,半導体・電子・電気機器,製造・メーカー,,,3～5名,2:3-5,長野県,中部・北陸,026-261-3100,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2022,マイナビ掲載リスト,99：アーカイブ,nagano-denshi.co.jp,独自ドメイン,代表窓口,,○,
株式会社新日本ニーズ,ソフトウエア,IT・ソフトウェア,,,6～10名,3:6-10,大阪府,近畿,06-4560-1015,,,,,データ利用プラン,ミニマムプラン,ライト,あり,あり,,2026/01,2026/12,11,2022,マイナビ掲載リスト,99：アーカイブ,newneeds.co.jp,独自ドメイン,採用専用,,○,
パーソルテンプスタッフ株式会社,メーカー（素材・食品・医薬品他),製造・メーカー,1千～2千人未満,10:1000-2000,101～200名,9:101+,東京都,関東,03-5350-1212,,,,,スタンダード,スタンダード,スタンダード,,,,2025/12,2026/11,11,2022,,99：アーカイブ,tempstaff.co.jp,独自ドメイン,人事・総務,あり,○,
オホーツク網走農業協同組合,公共インフラ・エネルギー・環境,公共インフラ・エネルギー,100～300人未満,07:100-300,6～10名,3:6-10,北海道,北海道・東北,0152-43-2311,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2022,,05：コンバート,okhotskabashiri.ja-hokkaido.gr.jp,独自ドメイン,代表窓口,あり,○,
大東株式会社,その他サービス（法人向け）,その他,50～100人未満,06:50-100,1～2名,1:1-2,千葉県,関東,047-330-4182,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/12,2026/11,11,2022,,89：リサイクル,daitogf.co.jp,独自ドメイン,採用専用,,○,
医療法人社団藤友五幸会,福祉サービス,医療・介護・福祉,,,16～20名,5:16-20,静岡県,中部・北陸,0538-38-9100,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2025/12,2026/11,11,2022,マイナビ掲載リスト,99：アーカイブ,toyugokokai.com,独自ドメイン,個人名/その他,,○,
株式会社西鉄ホテルズ,レジャー・アミューズメントサービス,外食・サービス・レジャー,1千～2千人未満,10:1000-2000,31～35名,7:31-50,福岡県,九州・沖縄,092-713-5751,,,,,ミドルプラン,ミドルプラン,ライトプラン500,あり,,,2026/02,2027/01,11,2022,,05：コンバート,nnr-g.com,独自ドメイン,個人名/その他,,○,
株式会社NBSロジソル,運輸・交通・物流・倉庫,運輸・物流,1千～2千人未満,10:1000-2000,,,大分県,九州・沖縄,0973-22-0022,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2022,,05：コンバート,nbsnet.co.jp,独自ドメイン,採用専用,,○,
穴吹エンタープライズ株式会社,レジャー・アミューズメントサービス,外食・サービス・レジャー,100～300人未満,07:100-300,11～15名,4:11-15,香川県,中国・四国,087-825-0556,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2026/02,2027/01,11,2022,その他リスト,05：コンバート,anabuki-enter.co.jp,独自ドメイン,採用専用,,○,
株式会社ユニティー,イベント・興行,外食・サービス・レジャー,,,16～20名,5:16-20,大阪府,近畿,06-6633-5055,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2022,マイナビ掲載リスト,99：アーカイブ,unity-grp.co.jp,独自ドメイン,採用専用,,○,
株式会社水明館,ホテル・旅館,外食・サービス・レジャー,,,6～10名,3:6-10,岐阜県,中部・北陸,0576-25-2800,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2022,マイナビ掲載リスト,99：アーカイブ,suimeikan.co.jp,独自ドメイン,代表窓口,,○,
トーステ株式会社,金属製品,製造・メーカー,,,1～2名,1:1-2,大阪府,近畿,06-6586-0700,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2022,マイナビ掲載リスト,99：アーカイブ,toste.co.jp,独自ドメイン,個人名/その他,,○,
株式会社MIS,,,,,3～5名,2:3-5,大阪府,近畿,06-4300-4450,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2022,,05：コンバート,mis-net.co.jp,独自ドメイン,代表窓口,,○,
石川サンケン株式会社,半導体・電子・電気機器,製造・メーカー,1千～2千人未満,10:1000-2000,1～2名,1:1-2,石川県,中部・北陸,0767-32-8111,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2022,マイナビ掲載リスト,99：アーカイブ,ms2.sanken-ele.co.jp,独自ドメイン,採用専用,,○,
米屋株式会社,食品,製造・メーカー,,,16～20名,5:16-20,千葉県,関東,0476-36-2031,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/01,2026/12,11,2023,マイナビ掲載リスト,99：アーカイブ,nagomi-yoneya.co.jp,独自ドメイン,人事・総務,,○,
株式会社ホンダ四輪販売中京,,,,,,,三重県,近畿,0593405105,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2026/01,2026/12,11,2023,,リサイクル,honda-auto.ne.jp,独自ドメイン,個人名/その他,あり,○,
株式会社１＆Ｄ,,,,,,,大阪府,近畿,0665781292,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,,99：アーカイブ,1andd.co.jp,独自ドメイン,採用専用,,○,
アイ・イー・シー株式会社,ソフトウエア・情報処理,IT・ソフトウェア,300～500人未満,08:300-500,26～30名,6:21-30,茨城県,関東,0294-53-4611,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,,05：コンバート,iecha.com,独自ドメイン,人事・総務,,○,
株式会社資さん,,,,,16～20名,5:16-20,福岡県,九州・沖縄,093-932-4757,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2023,,05：コンバート,sukesan.co.jp,独自ドメイン,個人名/その他,,○,
サントリービバレッジソリューション株式会社,,,,,不明,,,,5031826568,,,,,ミニマムプラン,ミニマムプラン,ライトプラン500,あり,,,2026/03,2027/02,11,2023,,99：アーカイブ,sbs.suntory.co.jp,独自ドメイン,人事・総務,,○,
三國製薬工業株式会社,薬品,その他,,,3～5名,2:3-5,大阪府,近畿,06-6333-5971,,,,,データ利用プラン,ミニマムプラン,ライト,あり,あり,,2026/02,2027/01,11,2023,マイナビ掲載リスト,99：アーカイブ,mikuni-seiyaku.co.jp,独自ドメイン,採用専用,,○,
株式会社ムジコ・クリエイト,その他,その他,100～300人未満,07:100-300,3～5名,2:3-5,青森県,北海道・東北,0172-28-2727,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,その他リスト,05：コンバート,mujicocreate.co.jp,独自ドメイン,個人名/その他,,○,
桃栄金属工業株式会社,,,,,3～5名,2:3-5,大阪府,近畿,072-634-2931,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,,05：コンバート,toei-metal.com,独自ドメイン,採用専用,,○,
川崎鶴見臨港バス株式会社,運輸・交通・物流・倉庫,運輸・物流,500～1千人未満,09:500-1000,3～5名,2:3-5,神奈川県,関東,044-280-3422,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2023,,05：コンバート,rinkobus.co.jp,独自ドメイン,採用専用,,○,
株式会社ＩＳＤ,ソフトウエア,IT・ソフトウェア,,,3～5名,2:3-5,北海道,北海道・東北,011-522-6391,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,マイナビ掲載リスト,99：アーカイブ,isd.cnt.co.jp,独自ドメイン,代表窓口,,○,
株式会社大谷山荘,レジャー・アミューズメントサービス,外食・サービス・レジャー,100～300人未満,07:100-300,3～5名,2:3-5,山口県,中国・四国,0837-25-3221,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,,05：コンバート,otanisanso.co.jp,独自ドメイン,採用専用,,○,
三光合成株式会社,メーカー（素材・食品・医薬品他),製造・メーカー,500～1千人未満,09:500-1000,3～5名,2:3-5,富山県,中部・北陸,0763-52-1000,上場,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,,05：コンバート,sankogosei.co.jp,独自ドメイン,個人名/その他,,○,
株式会社ホテルニューアワジ,レジャー・アミューズメントサービス,外食・サービス・レジャー,300～500人未満,08:300-500,不明,,兵庫県,近畿,0799-22-2444,,,,,スタンダード,スタンダード,スタンダード,,,,2026/02,2027/01,11,2023,,99：アーカイブ,newawaji-hotels.com,独自ドメイン,人事・総務,,○,
株式会社メイコン,運輸・交通・物流・倉庫,運輸・物流,100～300人未満,07:100-300,6～10名,3:6-10,愛知県,中部・北陸,0568-74-0166,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,,99：アーカイブ,meikon.co.jp,独自ドメイン,採用専用,,○,
社会福祉法人上伊那福祉協会,福祉サービス,医療・介護・福祉,500～1千人未満,09:500-1000,6～10名,3:6-10,長野県,中部・北陸,0265-77-0350,,,,,データ利用プラン,データ利用プラン,ライト,あり,,,2026/02,2027/01,11,2023,マイナビ掲載リスト,99：アーカイブ,kamifuku.or.jp,独自ドメイン,採用専用,,○,
株式会社ベン,,,,,,,東京都,関東,03-3759-0181,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,,05：コンバート,venn4u.com,独自ドメイン,個人名/その他,,○,
空港ターミナルサービス株式会社,運輸・交通・物流・倉庫,運輸・物流,500～1千人未満,09:500-1000,不明,,千葉県,関東,0476-32-5289,,,,,スタンダード,スタンダード,ライト,あり,,,2026/02,2027/01,11,2023,,99：アーカイブ,ats-nt.co.jp,独自ドメイン,採用専用,,○,
サツマ酸素工業株式会社,,,100～300人未満,07:100-300,,,鹿児島県,九州・沖縄,099-266-2300,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,,05：コンバート,satsumao2.co.jp,独自ドメイン,採用専用,,○,
株式会社Ｆ＆Ｃホールディングス,メーカー （機械・電気・電子）,製造・メーカー,10～20人未満,03:10-20,3～5名,2:3-5,愛知県,中部・北陸,052-972-6111,,,,,スタンダード,スタンダード,スタンダード,,,,2026/02,2027/01,11,2023,,05：コンバート,fujimaki.co.jp,独自ドメイン,個人名/その他,,○,
株式会社コスモネット,,,,,51～100名,8:51-100,京都府,近畿,075-212-6556,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,,05：コンバート,cosmonet.ne.jp,独自ドメイン,採用専用,,○,
常磐システムエンジニアリング株式会社,ソフトウエア,IT・ソフトウェア,,,6～10名,3:6-10,茨城県,関東,029-824-0631,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,マイナビ掲載リスト,99：アーカイブ,tokiwa-sys.co.jp,独自ドメイン,採用専用,,○,
株式会社白洋舎,その他ビジネスサービス,人材・専門・公共サービス,,,3～5名,2:3-5,東京都,関東,03-5732-5111,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2023,,99：アーカイブ,hakuyosha.co.jp,独自ドメイン,採用専用,あり,○,
株式会社ファミリー,不動産・建設・設備,建設・不動産,30～50人未満,05:30-50,不明,,福岡県,九州・沖縄,092-722-5000,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,,99：アーカイブ,familycar.jp,独自ドメイン,採用専用,,○,
株式会社ミタス,商社,商社・卸,100～300人未満,07:100-300,3～5名,2:3-5,福井県,中部・北陸,0776-24-0500,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,その他リスト,05：コンバート,mitas-inc.co.jp,独自ドメイン,採用専用,,○,
株式会社ソフィア,その他サービス（個人向け）,その他,300～500人未満,08:300-500,,,群馬県,関東,0276-36-1717,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2023,,05：コンバート,sophia-inc.co.jp,独自ドメイン,人事・総務,,○,
神興建設株式会社,建設,建設・不動産,,,6～10名,3:6-10,東京都,関東,03-3410-5590,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,マイナビ掲載リスト,99：アーカイブ,shinkou-kensetu.co.jp,独自ドメイン,個人名/その他,,○,
愛媛県信用農業協同組合連合会,,,,,6～10名,3:6-10,愛媛県,中国・四国,089-948-5209,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/02,2027/01,11,2023,その他リスト,05：コンバート,jabank-ehime.or.jp,独自ドメイン,人事・総務,,○,
人の森株式会社,建設・設備,建設・不動産,,,不明,,神奈川県,関東,046-233-2511,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2023,,99：アーカイブ,hitonomoricorp.jp,独自ドメイン,採用専用,,○,
中電プラント株式会社,,,,,11～15名,4:11-15,広島県,中国・四国,082-252-4311,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2023,,05：コンバート,cpc.gr.energia.co.jp,独自ドメイン,個人名/その他,,○,
株式会社セレモニア,,,,,6～10名,3:6-10,神奈川県,関東,044-328-0146,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2023,,05：コンバート,ceremonia.co.jp,独自ドメイン,採用専用,,○,
ネッツトヨタ高松株式会社,商社,商社・卸,100～300人未満,07:100-300,6～10名,3:6-10,香川県,中国・四国,087-882-7126,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2023,,05：コンバート,netz-takamatsu.jp,独自ドメイン,個人名/その他,,○,
協立電子株式会社,情報処理,IT・ソフトウェア,,,6～10名,3:6-10,神奈川県,関東,044-863-4020,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2023,マイナビ掲載リスト,99：アーカイブ,kec-x.co.jp,独自ドメイン,採用専用,,○,
信州ハム株式会社,メーカー（素材・食品・医薬品他),製造・メーカー,300～500人未満,08:300-500,,,長野県,中部・北陸,0268-26-8686,,,,,ミニマムプラン,ミニマムプラン,ライト,あり,,,2026/03,2027/02,11,2023,,05：コンバート,shinshuham.co.jp,独自ドメイン,採用専用,,○,
一般財団法人電気安全環境研究所,総務,その他,,,3～5名,2:3-5,東京都,関東,03-3466-5145,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2023,アウトバウンド架電,99：アーカイブ,jet.or.jp,独自ドメイン,人事・総務,,○,
群馬セキスイハイム株式会社,不動産・建設・設備,建設・不動産,300～500人未満,08:300-500,11～15名,4:11-15,群馬県,関東,027-220-1211,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/05,2027/04,11,2023,,05：コンバート,sekisui.com,独自ドメイン,代表窓口,,○,
中日本ハイウェイ・メンテナンス北陸株式会社,建設・設備,建設・不動産,,,不明,,石川県,中部・北陸,076-261-8111,,,,,ミニマムプラン,ミニマムプラン,ミニマムプラン,,,,2026/04,2027/03,11,2023,,99：アーカイブ,c-nexco-hmh.jp,独自ドメイン,個人名/その他,,○,
